s34, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	I	950.0	1703.0	6.356	6.303	6.433	0.13	41	0	0	0	0	0		m	878.0	1486.0	918.0	1594.0	950.0	1699.0	915.0	1820.0	873.0	1804.0	6	
IH	1	LIVE	707.0	1626.0	6.526	6.503	6.573	0.07	1	3	2	2	7	0			701.0	1549.0	709.0	1587.0	694.0	1681.0	678.0	1725.0	672.0	1721.0	5	
AA	1	ON	706.0	1091.0	6.65	6.633	6.683	0.05	5	4	4	2	0	0			679.0	1097.0	679.0	1097.0	732.0	1081.0	754.0	1087.0	754.0	1087.0	6	
AH	0	THE	727.0	1387.0	6.786	6.763	6.833	0.07	*	0	0	0	3	0			709.0	1332.0	720.0	1360.0	724.0	1410.0	643.0	1422.0	612.0	1416.0	6	
AW	1	SOUTH	873.0	1570.0	6.966	6.933	7.063	0.13	42	3	3	1	3	0			743.0	1549.0	906.0	1555.0	976.0	1441.0	968.0	1331.0	796.0	1211.0	5	
EH	1	WEST	659.0	1438.0	7.17	7.153	7.203	0.05	2	3	4	1	9	3			648.0	1408.0	648.0	1408.0	663.0	1479.0	642.0	1498.0	642.0	1498.0	5	
AY	1	SIDE	935.0	1418.0	7.437	7.353	7.533	0.18	41	1	4	2	3	0			709.0	1373.0	840.0	1316.0	931.0	1390.0	891.0	1657.0	754.0	1930.0	6	
ER	1	WORK	629.0	1073.0	7.766	7.743	7.813	0.07	94	1	6	1	9	0			620.0	967.0	624.0	1014.0	641.0	1176.0	621.0	1329.0	594.0	1368.0	6	
AH	1	DUBLIN	814.0	1493.0	8.063	8.033	8.123	0.09	6	1	1	2	3	1			715.0	1621.0	776.0	1546.0	886.0	1369.0	886.0	1211.0	824.0	1113.0	6	
AY	1	I	676.0	1704.0	9.259	9.234	9.294	0.06	41	0	0	0	0	0		m	1092.0	1573.0	1131.0	1729.0	761.0	1697.0	675.0	1727.0	728.0	1673.0	6	
OW	1	DON'T	685.0	1606.0	9.339	9.324	9.384	0.06	62	4	4	2	3	3			680.0	1620.0	684.0	1611.0	707.0	1530.0	700.0	1496.0	698.0	1495.0	5	
IH	1	GET	548.0	2094.0	9.511	9.494	9.544	0.05	1	1	4	1	6	0			525.0	2134.0	525.0	2134.0	571.0	2037.0	574.0	1916.0	574.0	1916.0	5	
