s06, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	609.0	1665.0	82.118	82.098	82.178	0.08	62	1	6	1	0	1			567.0	1516.0	609.0	1665.0	644.0	1165.0	667.0	1086.0	677.0	979.0	6	
EY	1	OKAY	718.0	2124.0	82.383	82.328	82.438	0.11	22	0	0	0	6	0			476.0	2094.0	632.0	2003.0	718.0	2124.0	698.0	1722.0	639.0	1038.0	6	
AY	1	MY	739.0	1552.0	82.568	82.528	82.608	0.08	41	0	0	0	2	0		m	527.0	1004.0	631.0	1080.0	736.0	1446.0	731.0	1589.0	679.0	1491.0	5	
EH	1	PARENTS	712.0	2088.0	82.755	82.728	82.808	0.08	2	6	4	2	1	1			1037.0	2314.0	671.0	2086.0	768.0	2110.0	776.0	2138.0	768.0	2140.0	4	
AH	0	PARENTS	681.0	1762.0	82.865	82.848	82.898	0.05	*	4	4	2	7	3			687.0	1772.0	687.0	1772.0	667.0	1728.0	648.0	1656.0	648.0	1656.0	5	
ER	0	ARE	533.0	1699.0	83.121	83.098	83.168	0.07	94	0	0	0	0	0			989.0	1993.0	575.0	1782.0	551.0	1675.0	540.0	1717.0	537.0	1727.0	6	
EH	1	MARRIED	692.0	1846.0	83.598	83.558	83.678	0.12	2	6	4	2	2	1			697.0	1655.0	696.0	1820.0	681.0	1925.0	688.0	1920.0	669.0	1843.0	5	
IY	0	MARRIED	536.0	2165.0	83.791	83.728	83.918	0.19	11	1	4	2	7	0			587.0	2035.0	544.0	2145.0	484.0	2253.0	475.0	2310.0	472.0	2183.0	6	
AY	1	I'M	745.0	1580.0	84.499	84.459	84.579	0.12	41	4	1	2	0	0		m	592.0	1671.0	724.0	1469.0	714.0	1589.0	607.0	1681.0	605.0	999.0	6	
AH	1	FROM	776.0	1152.0	85.165	85.148	85.198	0.05	6	4	1	2	8	0			777.0	1200.0	777.0	1200.0	767.0	1057.0	725.0	884.0	725.0	884.0	5	
