s28, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AH	1	UM	793.0	1451.0	3.289	3.223	3.422	0.199	6	4	1	2	0	0			864.0	1526.0	789.0	1464.0	720.0	1201.0	637.0	1217.0	526.0	1080.0	5	
AY	1	I	733.0	1566.0	3.807	3.748	3.868	0.12	41	0	0	0	0	0		s	634.0	2076.0	713.0	2048.0	564.0	838.0	714.0	1861.0	639.0	1902.0	6	
AY	2	REALIZED	744.0	1644.0	4.18	4.178	4.258	0.08	41	3	4	2	7	3		m	678.0	1376.0	744.0	1650.0	650.0	1143.0	650.0	1744.0	591.0	1753.0	6	
AH	0	THAT	553.0	1660.0	4.395	4.368	4.448	0.08	*	1	4	1	3	0			504.0	1683.0	532.0	1677.0	584.0	1633.0	561.0	1555.0	587.0	1507.0	5	
AY	1	I	818.0	1682.0	6.751	6.704	6.804	0.1	41	0	0	0	0	0		m	566.0	1509.0	736.0	1489.0	802.0	1684.0	784.0	1724.0	741.0	1823.0	5	
AO	1	THOUGHT	867.0	1234.0	6.957	6.904	7.064	0.16	53	1	4	1	3	0			595.0	1320.0	847.0	1233.0	885.0	1189.0	887.0	1243.0	903.0	1345.0	6	
OW	1	SO	650.0	1419.0	7.31	7.294	7.434	0.14	63	0	0	0	3	0			622.0	1423.0	735.0	1359.0	754.0	1342.0	657.0	1330.0	633.0	1312.0	5	
AY	1	LIKE	844.0	1426.0	7.766	7.761	7.851	0.09	47	1	6	1	7	0			770.0	1297.0	843.0	1437.0	826.0	1434.0	792.0	1579.0	567.0	1964.0	5	
AA	1	NOT	872.0	1526.0	8.411	8.394	8.444	0.05	5	1	4	1	4	0			869.0	1471.0	869.0	1471.0	864.0	1515.0	833.0	1323.0	833.0	1323.0	6	
AE	1	HAPPY	1172.0	1763.0	8.557	8.514	8.644	0.13	3	1	1	1	0	1			1046.0	1764.0	1144.0	1767.0	1082.0	1744.0	899.0	1409.0	903.0	1664.0	6	
IH	0	IN	614.0	2227.0	8.781	8.764	8.814	0.05	1	4	4	2	0	0			612.0	2219.0	612.0	2219.0	607.0	2230.0	573.0	1894.0	573.0	1894.0	5	
AH	0	A	476.0	1728.0	8.894	8.874	8.934	0.06	*	0	0	0	0	0			481.0	1792.0	481.0	1780.0	495.0	1583.0	367.0	1341.0	360.0	1315.0	5	
EY	1	PLACE	615.0	1721.0	9.08	9.064	9.134	0.07	21	3	4	1	8	0			614.0	1674.0	615.0	1732.0	562.0	1906.0	429.0	2013.0	400.0	2027.0	5	
EY	1	STAY	763.0	1919.0	10.043	9.974	10.284	0.31	22	0	0	0	3	0			745.0	1886.0	737.0	1931.0	685.0	2036.0	593.0	2243.0	496.0	2335.0	5	
IY	0	BE	416.0	2494.0	10.604	10.584	10.644	0.06	12	0	0	0	1	0			594.0	2526.0	409.0	2484.0	422.0	2476.0	469.0	2408.0	471.0	2401.0	4	
IH	1	MISERABLE	609.0	1802.0	10.744	10.714	10.804	0.09	1	3	4	2	2	2			557.0	1730.0	604.0	1799.0	592.0	1724.0	521.0	1594.0	461.0	1579.0	5	
AW	1	ABOUT	784.0	1229.0	11.239	11.214	11.314	0.1	42	1	4	1	1	0			701.0	1172.0	794.0	1233.0	878.0	1284.0	882.0	1308.0	957.0	1335.0	5	
IH	0	IT	660.0	1703.0	11.424	11.394	11.484	0.09	1	1	4	1	0	0			622.0	1615.0	659.0	1686.0	681.0	1747.0	674.0	1740.0	656.0	1748.0	5	
AE	1	YEAH	654.0	2111.0	18.854	18.811	18.941	0.13	3	0	0	0	9	0			571.0	2313.0	640.0	2136.0	672.0	1965.0	734.0	1905.0	754.0	1826.0	5	
AY	1	I	857.0	1946.0	18.953	18.941	18.991	0.05	41	0	0	0	0	0		m	835.0	1925.0	838.0	1940.0	857.0	1946.0	710.0	1691.0	673.0	1660.0	6	
AO	1	THOUGHT	723.0	1335.0	19.098	19.081	19.131	0.05	53	1	4	1	3	0			711.0	1424.0	711.0	1424.0	700.0	1145.0	686.0	1097.0	686.0	1097.0	6	
AH	1	WAS	516.0	1384.0	19.297	19.28	19.331	0.051	6	3	4	2	9	0			516.0	1364.0	516.0	1364.0	509.0	1406.0	482.0	1421.0	482.0	1421.0	5	
AH	0	GONNA	512.0	1793.0	19.52	19.5	19.561	0.061	*	0	0	0	4	0			463.0	1744.0	474.0	1750.0	508.0	1743.0	372.0	1458.0	360.0	1443.0	5	
IY	0	BE	369.0	2505.0	19.667	19.62	19.761	0.141	12	0	0	0	1	0			381.0	2253.0	367.0	2503.0	362.0	2584.0	355.0	2560.0	385.0	2548.0	5	
AY	1	LIKE	766.0	1478.0	20.74	20.74	20.82	0.08	47	1	6	1	7	0			715.0	1343.0	759.0	1520.0	707.0	1653.0	609.0	1948.0	498.0	2104.0	5	
AA	1	NOT	868.0	1424.0	21.19	21.17	21.23	0.06	5	1	4	1	4	0			808.0	1441.0	818.0	1441.0	911.0	1412.0	931.0	1387.0	929.0	1384.0	5	
OW	1	SO	558.0	1393.0	21.402	21.39	21.45	0.06	63	0	0	0	3	0			558.0	1393.0	562.0	1403.0	572.0	1542.0	533.0	1538.0	529.0	1536.0	5	
AH	1	STRUCTURED	823.0	1403.0	21.657	21.64	21.69	0.05	6	1	6	1	8	4			806.0	1400.0	806.0	1400.0	846.0	1410.0	879.0	1469.0	879.0	1469.0	6	
ER	0	STRUCTURED	553.0	1623.0	21.907	21.85	22.02	0.17	94	1	4	2	5	0			533.0	1680.0	552.0	1624.0	532.0	1599.0	505.0	1668.0	448.0	1810.0	5	
