s17, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	612.0	1409.0	3.449	3.409	3.569	0.16	62	1	6	1	0	1			552.0	1604.0	633.0	1340.0	702.0	1186.0	657.0	1162.0	551.0	1140.0	6	
EY	1	OKAY	725.0	1672.0	3.743	3.669	3.819	0.15	22	0	0	0	6	0			634.0	1698.0	695.0	1542.0	725.0	1671.0	715.0	1680.0	690.0	1674.0	6	
IH	0	IT'S	546.0	2007.0	10.588	10.561	10.641	0.08	1	1	4	1	0	3			557.0	2131.0	564.0	2113.0	551.0	2128.0	517.0	2057.0	497.0	1990.0	5	
EH	1	VERY	554.0	1855.0	10.834	10.811	10.881	0.07	2	6	4	2	1	1			493.0	1838.0	493.0	1828.0	548.0	1740.0	575.0	1730.0	582.0	1702.0	6	
IY	0	VERY	539.0	1972.0	10.994	10.971	11.041	0.07	12	0	0	0	7	0			571.0	1916.0	557.0	1938.0	513.0	2056.0	468.0	2155.0	452.0	2175.0	4	
IH	1	DIFFICULT	573.0	1925.0	11.131	11.111	11.171	0.06	1	3	2	1	3	2			555.0	1990.0	560.0	1974.0	590.0	1868.0	613.0	1818.0	613.0	1818.0	4	
AH	0	DIFFICULT	602.0	1223.0	11.278	11.261	11.311	0.05	*	1	6	1	1	1			599.0	1239.0	599.0	1239.0	623.0	1196.0	589.0	1233.0	589.0	1233.0	6	
AE	1	YEAH	696.0	1872.0	14.22	14.193	14.273	0.08	3	0	0	0	9	0			631.0	2016.0	669.0	1921.0	749.0	1763.0	784.0	1642.0	788.0	1603.0	6	
AY	1	I	994.0	1439.0	15.243	15.234	15.304	0.07	41	0	0	0	0	0			1061.0	1370.0	1025.0	1398.0	924.0	1469.0	750.0	1457.0	698.0	1796.0	6	
OW	1	DON'T	524.0	1819.0	15.366	15.354	15.404	0.05	62	4	4	2	3	3			524.0	1819.0	524.0	1819.0	544.0	1746.0	562.0	1653.0	562.0	1653.0	5	
OW	1	KNOW	603.0	1451.0	15.521	15.504	15.584	0.08	63	0	0	0	4	0			480.0	1482.0	560.0	1435.0	604.0	1195.0	566.0	938.0	524.0	827.0	6	
AY	1	WHY	843.0	1129.0	15.814	15.684	15.944	0.26	41	0	0	0	9	0			670.0	898.0	760.0	1064.0	835.0	1064.0	859.0	1186.0	770.0	1723.0	6	
AH	1	UH	800.0	1565.0	16.591	16.548	16.678	0.13	6	0	0	0	0	0			773.0	1600.0	800.0	1568.0	791.0	1555.0	745.0	1597.0	605.0	1628.0	5	
AH	1	COLUMBUS	823.0	1256.0	16.858	16.838	16.898	0.06	6	4	1	2	7	4			829.0	1258.0	830.0	1259.0	796.0	1224.0	732.0	1119.0	727.0	1107.0	5	
AH	0	COLUMBUS	515.0	1127.0	16.978	16.958	17.018	0.06	*	3	4	1	1	0			504.0	1034.0	506.0	1045.0	515.0	1240.0	502.0	1387.0	501.0	1395.0	5	
IH	0	JUST	530.0	1697.0	17.405	17.378	17.458	0.08	1	3	4	1	5	3			466.0	1685.0	509.0	1717.0	541.0	1646.0	540.0	1521.0	525.0	1436.0	6	
AH	1	STUBBORN	767.0	1499.0	17.735	17.708	17.788	0.08	6	1	1	2	3	1			699.0	1600.0	740.0	1554.0	793.0	1432.0	775.0	1380.0	742.0	1308.0	5	
ER	0	STUBBORN	570.0	1189.0	17.881	17.848	17.948	0.1	94	4	4	2	1	0			556.0	1019.0	573.0	1146.0	551.0	1315.0	521.0	1389.0	490.0	1470.0	5	
AH	0	ABOUT	639.0	1592.0	18.021	17.998	18.068	0.07	*	1	1	2	0	1			584.0	1583.0	611.0	1576.0	670.0	1572.0	609.0	1333.0	566.0	1266.0	5	
