s08, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EY	1	OK	639.0	2351.0	15.072	15.043	15.123	0.08	22	0	0	0	6	0			545.0	2254.0	621.0	2261.0	617.0	2351.0	471.0	2001.0	416.0	1529.0	5	
EY	1	GREAT	645.0	1815.0	38.084	38.071	38.161	0.09	21	1	4	1	8	0			645.0	1815.0	589.0	1942.0	560.0	2148.0	503.0	1253.0	470.0	365.0	6	
UH	1	SURE	525.0	778.0	45.692	45.669	45.739	0.07	74	6	4	2	5	0			500.0	1423.0	522.0	1133.0	543.0	601.0	628.0	1692.0	623.0	1764.0	6	
AH	1	UM	839.0	1228.0	46.093	45.976	46.326	0.35	6	4	1	2	0	0			890.0	1028.0	842.0	1218.0	785.0	1204.0	710.0	1131.0	738.0	1068.0	5	
AY	1	I	836.0	1800.0	46.58	46.582	46.632	0.05	41	0	0	0	0	0		m	649.0	1650.0	764.0	1689.0	834.0	1818.0	740.0	1971.0	699.0	2073.0	5	
IH	0	IN	569.0	1506.0	46.929	46.912	46.962	0.05	1	4	4	2	0	0			791.0	1860.0	791.0	1860.0	574.0	1443.0	606.0	1459.0	606.0	1459.0	5	
AY	1	LIMA	812.0	1357.0	47.127	47.092	47.182	0.09	41	4	1	2	7	1			613.0	732.0	782.0	1025.0	811.0	1327.0	800.0	1607.0	773.0	1712.0	5	
AH	0	LIMA	717.0	995.0	47.272	47.242	47.332	0.09	*	0	0	0	2	0			724.0	1296.0	713.0	986.0	719.0	989.0	767.0	794.0	732.0	1059.0	4	
AY	1	OHIO	938.0	1067.0	47.457	47.432	47.582	0.15	41	0	0	0	0	1			973.0	2275.0	932.0	1071.0	874.0	1298.0	862.0	1589.0	818.0	1802.0	5	
OW	0	OHIO	831.0	1732.0	47.617	47.582	47.722	0.14	63	0	0	0	0	0			827.0	1768.0	850.0	1599.0	737.0	1254.0	855.0	1116.0	429.0	886.0	6	
AE	1	AND	604.0	2706.0	48.891	48.824	49.024	0.2	3	4	4	2	0	3			590.0	2686.0	602.0	2700.0	614.0	2613.0	681.0	2284.0	707.0	2163.0	5	
IH	0	IS	394.0	1772.0	49.261	49.244	49.294	0.05	1	3	4	2	0	0			832.0	2327.0	832.0	2327.0	402.0	1827.0	409.0	1708.0	409.0	1708.0	6	
OW	1	ONLY	509.0	1537.0	49.369	49.354	49.444	0.09	62	4	4	2	0	1			494.0	1543.0	558.0	1481.0	524.0	1203.0	445.0	857.0	495.0	996.0	5	
IY	0	ONLY	565.0	1773.0	49.541	49.524	49.574	0.05	12	0	0	0	7	0			574.0	1683.0	574.0	1683.0	554.0	1941.0	539.0	2313.0	539.0	2313.0	4	
AW	1	ABOUT	809.0	1400.0	49.696	49.674	49.764	0.09	42	1	4	1	1	0			734.0	1308.0	820.0	1402.0	861.0	1366.0	844.0	1400.0	804.0	1434.0	5	
