s39, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EH	1	YES	617.0	2102.0	11.892	11.865	11.945	0.08	2	3	4	1	9	0			534.0	2256.0	581.0	2170.0	672.0	1980.0	696.0	1913.0	806.0	2113.0	4	
AH	1	UM	817.0	1331.0	12.478	12.435	12.565	0.13	6	4	1	2	0	0			772.0	1402.0	812.0	1336.0	829.0	1360.0	766.0	1277.0	709.0	1357.0	5	
AH	2	UNDERGRADUATE	709.0	1507.0	13.391	13.364	13.444	0.08	6	4	4	2	0	5			700.0	1697.0	642.0	1503.0	769.0	1559.0	725.0	1692.0	705.0	1751.0	5	
ER	1	FIRST	511.0	1752.0	16.457	16.437	16.497	0.06	94	3	4	1	1	3			517.0	1840.0	462.0	1774.0	546.0	1744.0	522.0	1835.0	518.0	1839.0	4	
IH	1	YEAR	486.0	2153.0	16.794	16.777	16.827	0.05	14	6	4	2	9	0			482.0	2197.0	482.0	2197.0	493.0	2076.0	508.0	1979.0	508.0	1979.0	5	
IH	0	FINISHING	549.0	2035.0	17.959	17.942	17.992	0.05	1	3	5	1	4	1			543.0	2247.0	543.0	2247.0	506.0	1911.0	414.0	1681.0	414.0	1681.0	5	
AH	1	UP	791.0	1474.0	18.339	18.302	18.412	0.11	6	1	1	1	0	0			703.0	1490.0	771.0	1475.0	820.0	1475.0	817.0	1603.0	824.0	1536.0	4	
OW	1	OH	745.0	1402.0	20.012	20.005	20.195	0.19	63	0	0	0	0	0			730.0	1409.0	685.0	1362.0	686.0	1335.0	635.0	1182.0	609.0	1205.0	5	
AE	1	YEAH	623.0	2196.0	20.302	20.275	20.355	0.08	3	0	0	0	9	0			586.0	2221.0	605.0	2188.0	665.0	2122.0	747.0	1954.0	785.0	1853.0	4	
OW	1	OH	726.0	1042.0	25.137	25.13	25.22	0.09	63	0	0	0	0	0			726.0	1042.0	693.0	1004.0	583.0	919.0	522.0	885.0	517.0	943.0	5	
IH	0	IT'S	521.0	1352.0	25.24	25.22	25.28	0.06	1	1	4	1	0	3			519.0	1235.0	519.0	1248.0	521.0	1558.0	485.0	1950.0	480.0	1973.0	4	
EH	1	DEFINITELY	684.0	1649.0	25.483	25.46	25.53	0.07	2	3	2	1	3	2			630.0	1787.0	654.0	1732.0	740.0	1537.0	767.0	1491.0	757.0	1480.0	4	
IY	0	DEFINITELY	504.0	2637.0	25.907	25.87	25.98	0.11	12	0	0	0	8	0			606.0	2264.0	525.0	2668.0	443.0	2669.0	1579.0	3042.0	1627.0	3085.0	3	
AH	0	THE	684.0	1483.0	26.073	26.04	26.14	0.1	*	0	0	0	3	0			616.0	1503.0	671.0	1488.0	697.0	1452.0	661.0	1392.0	634.0	1410.0	5	
IH	1	BEGINNING	636.0	2124.0	26.713	26.683	26.773	0.09	1	4	4	2	6	1			509.0	2231.0	593.0	2164.0	718.0	1994.0	755.0	1807.0	745.0	1711.0	5	
IH	0	BEGINNING	794.0	1678.0	26.836	26.803	26.903	0.1	1	4	6	2	4	0			795.0	1606.0	802.0	1664.0	785.0	1717.0	807.0	1757.0	805.0	1714.0	5	
AH	0	THE	485.0	1712.0	29.05	29.027	29.097	0.07	*	0	0	0	3	0			491.0	1686.0	479.0	1701.0	482.0	1697.0	473.0	1608.0	470.0	1596.0	5	
IH	0	BEGINNING	468.0	2087.0	29.16	29.137	29.207	0.07	1	1	6	2	1	2			468.0	1888.0	469.0	1972.0	464.0	2288.0	441.0	2407.0	433.0	2414.0	4	
AH	0	OF	611.0	1624.0	29.494	29.477	29.527	0.05	*	3	2	2	0	0			608.0	1738.0	608.0	1738.0	598.0	1505.0	535.0	1364.0	535.0	1364.0	5	
