s30, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	680.0	1282.0	12.794	12.779	12.869	0.09	62	1	6	1	0	1			699.0	1296.0	646.0	1252.0	588.0	1209.0	531.0	1136.0	501.0	1132.0	5	
EY	1	OKAY	674.0	1833.0	13.053	12.999	13.269	0.27	22	0	0	0	6	0			667.0	1854.0	645.0	1849.0	592.0	1919.0	535.0	2028.0	533.0	1957.0	5	
UW	1	DO	436.0	1408.0	14.18	14.171	14.241	0.07	73	0	0	0	3	0			436.0	1408.0	418.0	1199.0	422.0	928.0	439.0	1407.0	446.0	1518.0	6	
UW	1	YOU	457.0	1884.0	14.307	14.29	14.341	0.051	72	0	0	0	9	0			455.0	2026.0	455.0	2026.0	462.0	1591.0	473.0	1246.0	473.0	1246.0	6	
AA	1	WANT	642.0	863.0	14.394	14.37	14.441	0.071	5	4	4	2	9	3			623.0	834.0	633.0	836.0	648.0	949.0	628.0	1069.0	611.0	1097.0	6	
AO	1	BORN	555.0	644.0	14.964	14.941	15.011	0.07	64	6	4	2	1	3			597.0	931.0	573.0	764.0	539.0	620.0	528.0	625.0	532.0	633.0	6	
AO	1	BORN	526.0	768.0	16.199	16.182	16.232	0.05	64	6	4	2	1	3			519.0	803.0	519.0	803.0	544.0	727.0	583.0	702.0	583.0	702.0	6	
AA	1	BOSTON	728.0	806.0	16.529	16.472	16.642	0.17	5	3	4	1	1	4			659.0	759.0	722.0	796.0	761.0	861.0	798.0	940.0	801.0	1078.0	5	
AH	0	BOSTON	598.0	1717.0	16.829	16.792	16.902	0.11	*	4	4	2	3	0			555.0	1697.0	593.0	1715.0	606.0	1731.0	602.0	1751.0	573.0	1726.0	5	
AH	1	UH	832.0	1288.0	17.753	17.68	17.899	0.219	6	0	0	0	0	0			798.0	1223.0	834.0	1296.0	828.0	1277.0	810.0	1347.0	775.0	1365.0	5	
EH	1	THERE	581.0	1679.0	18.139	18.099	18.22	0.121	2	6	4	2	3	0			509.0	1638.0	574.0	1680.0	597.0	1689.0	629.0	1703.0	643.0	1685.0	5	
AY	1	I	893.0	1327.0	19.061	19.011	19.111	0.1	41	0	0	0	0	0		s	1124.0	2460.0	1126.0	1947.0	859.0	1230.0	889.0	1423.0	772.0	1554.0	5	
UW	1	MOVED	471.0	1363.0	19.201	19.181	19.241	0.06	72	3	2	2	2	3			437.0	1267.0	442.0	1279.0	481.0	1445.0	471.0	1474.0	469.0	1472.0	5	
EY	1	AWAY	641.0	1739.0	19.433	19.391	19.481	0.09	22	0	0	0	9	0			605.0	1443.0	632.0	1589.0	640.0	1761.0	621.0	1817.0	598.0	1798.0	5	
AY	1	I	742.0	1393.0	19.794	19.761	19.911	0.15	41	0	0	0	0	0			699.0	1101.0	740.0	1368.0	697.0	1587.0	667.0	1854.0	548.0	2097.0	5	
IY	0	REALLY	524.0	2042.0	20.148	20.121	20.201	0.08	12	0	0	0	7	0			529.0	1859.0	527.0	1962.0	506.0	2166.0	483.0	2297.0	480.0	2316.0	5	
EH	1	REMEMBER	717.0	1532.0	20.501	20.471	20.561	0.09	2	4	1	2	2	4			610.0	1405.0	696.0	1506.0	739.0	1548.0	709.0	1512.0	668.0	1444.0	5	
ER	0	REMEMBER	530.0	1317.0	20.641	20.621	20.681	0.06	94	0	0	0	1	0			543.0	1305.0	539.0	1306.0	537.0	1415.0	548.0	1519.0	550.0	1528.0	5	
IH	0	IT	568.0	1714.0	20.721	20.681	20.801	0.12	1	1	4	1	0	0			560.0	1643.0	566.0	1704.0	559.0	1738.0	537.0	1775.0	533.0	1788.0	5	
UW	1	MOVED	497.0	1457.0	20.958	20.941	20.991	0.05	72	3	2	2	2	3			503.0	1441.0	503.0	1441.0	487.0	1454.0	464.0	1430.0	464.0	1430.0	5	
AH	0	TO	459.0	1810.0	21.201	21.181	21.241	0.06	*	0	0	0	3	0			469.0	1821.0	464.0	1818.0	467.0	1792.0	444.0	1778.0	439.0	1775.0	5	
IH	0	DETROIT	446.0	1865.0	21.368	21.351	21.401	0.05	1	1	4	1	3	1			454.0	1871.0	454.0	1871.0	439.0	1865.0	423.0	1886.0	423.0	1886.0	5	
OY	1	DETROIT	587.0	1188.0	21.691	21.621	21.831	0.21	61	1	4	1	8	0			595.0	957.0	591.0	1156.0	570.0	1443.0	494.0	831.0	483.0	1655.0	6	
AH	1	UH	780.0	1335.0	22.782	22.652	23.042	0.39	6	0	0	0	0	0			808.0	1418.0	781.0	1337.0	775.0	1358.0	751.0	1417.0	682.0	1338.0	5	
AY	1	I	812.0	1544.0	23.257	23.222	23.292	0.07	41	0	0	0	0	0		m	581.0	1570.0	657.0	1561.0	769.0	1523.0	823.0	1559.0	786.0	1540.0	5	
EH	1	THERE	601.0	1841.0	23.555	23.502	23.662	0.16	2	6	4	2	3	0			530.0	1779.0	595.0	1838.0	634.0	1840.0	653.0	1841.0	661.0	1820.0	5	
EH	1	SPENT	695.0	1640.0	24.149	24.102	24.242	0.14	2	4	4	2	1	3			656.0	1513.0	696.0	1617.0	687.0	1719.0	655.0	1714.0	601.0	1651.0	5	
AW	1	ABOUT	838.0	1099.0	25.411	25.394	25.464	0.07	42	1	4	1	1	0			822.0	1075.0	838.0	1099.0	894.0	1173.0	865.0	1124.0	838.0	1164.0	6	
EH	1	TEN	751.0	1821.0	25.627	25.604	25.674	0.07	2	4	4	2	3	0			716.0	1845.0	737.0	1831.0	733.0	1847.0	659.0	1954.0	639.0	1979.0	4	
EH	1	THERE	633.0	1845.0	26.011	25.964	26.104	0.14	2	6	4	2	3	0			515.0	1773.0	625.0	1836.0	641.0	1874.0	638.0	1873.0	645.0	1828.0	5	
EH	1	THEN	673.0	2097.0	26.331	26.314	26.364	0.05	2	4	4	2	3	0			1304.0	3478.0	1304.0	3478.0	1816.0	nan	1042.0	nan	1042.0	nan	4	
UW	1	MOVED	514.0	1507.0	26.471	26.444	26.524	0.08	72	3	2	2	2	3			475.0	1358.0	507.0	1460.0	492.0	1518.0	460.0	1442.0	455.0	1393.0	5	
AH	0	TO	673.0	1588.0	26.734	26.644	26.914	0.27	*	0	0	0	3	0			644.0	1669.0	673.0	1594.0	670.0	1523.0	668.0	1404.0	711.0	1033.0	5	
AY	1	OHIO	1039.0	1092.0	27.016	27.014	27.214	0.2	41	0	0	0	0	1			1032.0	1098.0	929.0	1246.0	922.0	1426.0	841.0	1582.0	732.0	1676.0	5	
OW	0	OHIO	731.0	1707.0	27.23	27.214	27.354	0.14	63	0	0	0	0	0			731.0	1713.0	733.0	1589.0	723.0	1433.0	720.0	1285.0	772.0	1120.0	4	
AH	1	UH	611.0	1038.0	27.867	27.834	27.934	0.1	6	0	0	0	0	0			654.0	1067.0	621.0	1035.0	600.0	1061.0	566.0	1066.0	541.0	1038.0	6	
AY	1	MY	829.0	1441.0	28.254	28.224	28.294	0.07	41	0	0	0	2	0		s	455.0	1251.0	616.0	1151.0	814.0	1318.0	795.0	1605.0	728.0	1741.0	5	
AE	1	FAMILY	605.0	2074.0	28.434	28.394	28.514	0.12	3	4	1	2	1	1			595.0	1995.0	602.0	2068.0	631.0	2017.0	657.0	1828.0	630.0	1571.0	5	
AH	0	AND	528.0	1706.0	29.104	29.084	29.144	0.06	*	4	4	2	0	3			991.0	2368.0	936.0	2298.0	529.0	1704.0	508.0	1675.0	506.0	1659.0	5	
EH	1	THEN	726.0	1717.0	29.257	29.224	29.324	0.1	2	4	4	2	3	0			682.0	1671.0	718.0	1706.0	733.0	1729.0	711.0	1705.0	683.0	1672.0	4	
AY	1	RIGHT	622.0	1699.0	29.949	29.93	30.01	0.08	47	1	4	1	7	0		s	562.0	1419.0	609.0	1574.0	618.0	1774.0	580.0	1952.0	552.0	2045.0	5	
AW	1	NOW	815.0	1802.0	30.127	30.08	30.35	0.27	42	0	0	0	4	0			791.0	1827.0	894.0	1687.0	868.0	1558.0	831.0	1247.0	691.0	963.0	5	
AH	1	UH	881.0	1328.0	30.91	30.83	31.07	0.24	6	0	0	0	0	0			896.0	1327.0	890.0	1300.0	881.0	1429.0	905.0	1447.0	886.0	1474.0	5	
AY	1	I'M	966.0	1483.0	31.879	31.88	32.0	0.12	41	4	1	2	0	0		s	977.0	1452.0	894.0	1479.0	909.0	1556.0	877.0	1663.0	777.0	1337.0	6	
AH	1	UH	820.0	1226.0	32.177	32.1	32.33	0.23	6	0	0	0	0	0			731.0	1026.0	826.0	1219.0	855.0	1283.0	882.0	1394.0	862.0	1436.0	6	
AE	1	AT	699.0	1983.0	32.631	32.588	32.718	0.13	3	1	4	1	0	0			716.0	1956.0	692.0	1987.0	734.0	1952.0	767.0	1933.0	724.0	1878.0	5	
AE	1	ASHLAND	904.0	1936.0	32.821	32.758	32.948	0.19	3	3	5	1	0	1			747.0	1871.0	904.0	1941.0	938.0	1913.0	953.0	1855.0	905.0	1771.0	5	
AH	0	ASHLAND	578.0	1099.0	33.128	33.108	33.168	0.06	*	4	4	2	8	3			574.0	1059.0	575.0	1065.0	574.0	1137.0	551.0	1184.0	547.0	1187.0	5	
ER	1	UNIVERSITY	560.0	1411.0	33.451	33.418	33.518	0.1	94	3	4	1	1	2			548.0	1262.0	560.0	1378.0	551.0	1477.0	533.0	1297.0	534.0	1457.0	6	
IY	0	UNIVERSITY	457.0	2311.0	33.731	33.688	33.818	0.13	12	0	0	0	3	0			466.0	2167.0	460.0	2294.0	447.0	2464.0	438.0	2537.0	414.0	2629.0	4	
AH	1	BUT	685.0	1188.0	34.413	34.36	34.52	0.16	6	1	4	1	1	0			665.0	1005.0	681.0	1163.0	707.0	1375.0	696.0	1645.0	648.0	1743.0	5	
IH	1	THINKING	560.0	2062.0	34.787	34.77	34.82	0.05	1	4	6	2	3	4			571.0	2013.0	571.0	2013.0	544.0	2148.0	520.0	2339.0	520.0	2339.0	5	
