s13, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	KIND	721.0	1401.0	40.821	40.76	40.91	0.15	41	4	4	2	6	3		s	578.0	1481.0	627.0	1169.0	720.0	1404.0	679.0	1560.0	427.0	1489.0	6	
AY	1	I'VE	803.0	1495.0	67.517	67.422	67.612	0.19	41	3	2	2	0	0		s	437.0	1385.0	458.0	1233.0	614.0	1397.0	700.0	1546.0	653.0	1693.0	6	
IH	0	BEEN	480.0	1879.0	67.802	67.772	67.862	0.09	1	4	4	2	1	0			277.0	1810.0	416.0	1843.0	530.0	1908.0	536.0	1943.0	515.0	1979.0	5	
IY	1	HERE	486.0	2320.0	68.002	67.942	68.122	0.18	14	6	4	2	0	0			480.0	2315.0	469.0	2314.0	644.0	2323.0	643.0	2293.0	675.0	2187.0	6	
AO	1	ALL	748.0	1076.0	68.285	68.262	68.332	0.07	53	5	4	2	0	0			692.0	1078.0	705.0	1046.0	829.0	1064.0	785.0	916.0	754.0	900.0	6	
AY	1	MY	900.0	1060.0	68.491	68.452	68.552	0.1	41	0	0	0	2	0		m	525.0	755.0	650.0	753.0	900.0	1051.0	736.0	1156.0	720.0	1134.0	6	
AY	1	LIFE	950.0	1114.0	68.706	68.592	68.852	0.26	47	3	2	1	7	0			648.0	878.0	915.0	941.0	950.0	1127.0	782.0	1210.0	581.0	1637.0	6	
AH	1	UM	526.0	1172.0	69.363	69.283	69.523	0.24	6	4	1	2	0	0			624.0	1455.0	534.0	1236.0	702.0	1326.0	699.0	1070.0	647.0	1292.0	6	
AY	1	I	851.0	1581.0	71.194	71.059	71.619	0.56	41	0	0	0	0	0			794.0	1859.0	590.0	1752.0	550.0	2345.0	537.0	2656.0	834.0	2132.0	5	
AY	1	RIGHT	896.0	1677.0	73.245	73.255	73.365	0.11	47	1	4	1	7	0			893.0	1678.0	812.0	1796.0	740.0	1920.0	661.0	2095.0	493.0	2256.0	4	
AW	1	NOW	664.0	1841.0	73.49	73.445	73.625	0.18	42	0	0	0	4	0			636.0	1882.0	694.0	1808.0	854.0	1685.0	853.0	1385.0	827.0	1275.0	5	
AY	1	I	812.0	1372.0	73.694	73.625	73.765	0.14	41	0	0	0	0	0			709.0	1192.0	737.0	1212.0	766.0	1281.0	802.0	1570.0	685.0	1843.0	6	
OW	1	DON'T	721.0	1659.0	73.881	73.845	74.015	0.17	62	4	4	2	3	0			679.0	1820.0	726.0	1446.0	710.0	1100.0	624.0	880.0	535.0	779.0	6	
UW	1	DO	427.0	1806.0	74.603	74.595	74.725	0.13	73	0	0	0	3	0			427.0	1806.0	450.0	1709.0	462.0	1435.0	465.0	1175.0	477.0	1196.0	6	
EH	1	ANYTHING	555.0	1578.0	74.755	74.725	74.815	0.09	2	4	4	2	0	2			525.0	1413.0	547.0	1525.0	562.0	1688.0	553.0	1831.0	543.0	1896.0	6	
IY	0	ANYTHING	460.0	2343.0	74.908	74.875	74.975	0.1	11	3	3	1	4	1			465.0	2080.0	466.0	2315.0	441.0	2393.0	431.0	2404.0	428.0	2373.0	6	
IH	2	ANYTHING	657.0	2005.0	75.128	75.075	75.235	0.16	1	4	6	2	3	0			671.0	1923.0	661.0	1995.0	645.0	2117.0	583.0	2257.0	489.0	2456.0	5	
AH	1	UH	870.0	1501.0	75.956	75.826	76.216	0.39	6	0	0	0	0	0			707.0	1544.0	871.0	1502.0	882.0	1469.0	880.0	1439.0	895.0	1456.0	4	
AY	1	I	876.0	1805.0	77.994	77.914	78.074	0.16	41	0	0	0	0	0		s	608.0	1493.0	617.0	1574.0	587.0	1709.0	683.0	1857.0	602.0	2011.0	6	
AE	1	HAD	796.0	2094.0	78.141	78.084	78.254	0.17	3	1	4	2	0	0			675.0	2197.0	777.0	2098.0	816.0	2081.0	881.0	1986.0	872.0	1919.0	6	
AH	0	A	738.0	1844.0	78.384	78.284	78.584	0.3	*	0	0	0	0	0			681.0	1809.0	737.0	1844.0	751.0	1823.0	750.0	1835.0	698.0	1814.0	5	
EH	1	HEAD	538.0	2220.0	79.837	79.797	79.917	0.12	2	1	4	2	0	0			228.0	2242.0	511.0	2241.0	589.0	2201.0	589.0	2172.0	563.0	2110.0	6	
IH	1	INJURY	536.0	1991.0	79.994	79.947	80.087	0.14	1	4	4	2	0	5			521.0	1957.0	535.0	1986.0	538.0	2008.0	528.0	2026.0	476.0	2031.0	6	
ER	0	INJURY	478.0	1722.0	80.26	80.227	80.327	0.1	94	0	0	0	5	1			465.0	1853.0	476.0	1739.0	479.0	1705.0	496.0	1715.0	511.0	1790.0	6	
IY	0	INJURY	525.0	2424.0	80.374	80.327	80.467	0.14	12	0	0	0	7	0			552.0	2125.0	528.0	2390.0	475.0	2496.0	447.0	2579.0	442.0	2587.0	4	
IH	0	IN	519.0	2245.0	80.484	80.467	80.517	0.05	1	4	4	2	0	0			513.0	2284.0	513.0	2284.0	526.0	2186.0	530.0	2089.0	530.0	2089.0	5	
AY	1	NINETY	841.0	1547.0	80.709	80.677	80.787	0.11	41	4	4	2	4	4		s	463.0	1398.0	787.0	1508.0	831.0	1561.0	767.0	1654.0	701.0	1819.0	6	
IY	0	NINETY	445.0	2542.0	80.874	80.847	80.927	0.08	12	0	0	0	3	0			460.0	2436.0	451.0	2507.0	434.0	2560.0	420.0	2445.0	415.0	2416.0	5	
IY	1	THREE	467.0	2369.0	81.217	81.147	81.357	0.21	12	0	0	0	8	0			491.0	2089.0	470.0	2351.0	478.0	2467.0	468.0	2524.0	452.0	2706.0	5	
EH	1	WHERE	844.0	1868.0	82.946	82.849	83.139	0.29	2	6	4	2	9	0			908.0	1730.0	844.0	1855.0	729.0	1985.0	607.0	2353.0	654.0	2363.0	4	
IH	1	HIT	563.0	2051.0	83.326	83.299	83.379	0.08	1	1	4	1	0	0			498.0	2127.0	539.0	2105.0	587.0	1988.0	600.0	1979.0	603.0	1973.0	5	
IH	0	WITH	597.0	1118.0	83.536	83.519	83.569	0.05	1	3	3	1	9	0			604.0	1115.0	604.0	1115.0	572.0	1121.0	522.0	1121.0	522.0	1121.0	6	
AH	0	A	704.0	1278.0	83.676	83.619	83.789	0.17	*	0	0	0	0	0			620.0	1200.0	695.0	1265.0	741.0	1241.0	675.0	1209.0	382.0	1232.0	5	
AA	1	HOCKEY	891.0	1256.0	83.849	83.799	83.949	0.15	5	1	6	1	0	1			824.0	1740.0	876.0	1244.0	882.0	1278.0	855.0	1330.0	742.0	1570.0	5	
IY	0	HOCKEY	448.0	2809.0	84.069	84.049	84.109	0.06	12	0	0	0	6	0			1518.0	3380.0	1381.0	3334.0	462.0	2504.0	460.0	2316.0	459.0	2292.0	4	
AH	1	PUCK	813.0	1246.0	84.272	84.229	84.359	0.13	6	1	6	1	1	0			491.0	1109.0	798.0	1227.0	833.0	1283.0	806.0	1405.0	701.0	1570.0	6	
IH	0	IN	418.0	1898.0	84.512	84.479	84.579	0.1	1	4	4	2	0	0			420.0	2032.0	414.0	1926.0	574.0	1833.0	595.0	1745.0	584.0	1609.0	6	
AH	0	THE	764.0	1468.0	84.739	84.679	84.859	0.18	*	0	0	0	3	0			675.0	1278.0	752.0	1467.0	816.0	1448.0	796.0	1570.0	627.0	1423.0	6	
EH	1	HEAD	678.0	2019.0	85.432	85.365	85.565	0.2	2	1	4	2	0	0			503.0	2016.0	672.0	2025.0	721.0	1958.0	730.0	1925.0	693.0	1918.0	5	
AE	1	AT	670.0	1807.0	87.211	87.161	87.311	0.15	3	1	4	1	0	0			549.0	1841.0	678.0	1827.0	612.0	1874.0	755.0	1826.0	682.0	1829.0	6	
AH	0	A	669.0	1683.0	87.608	87.591	87.641	0.05	*	0	0	0	0	0			686.0	1659.0	686.0	1659.0	629.0	1723.0	515.0	1795.0	515.0	1795.0	5	
IH	1	CHILL	522.0	1966.0	87.844	87.821	87.891	0.07	1	5	4	2	5	0			436.0	2002.0	478.0	1990.0	558.0	1902.0	611.0	1756.0	628.0	1712.0	6	
