s16, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AE	1	YEAH	744.0	1917.0	8.08	8.06	8.12	0.06	3	0	0	0	9	0			581.0	1953.0	594.0	1954.0	735.0	1995.0	785.0	1806.0	785.0	1806.0	6	
EH	1	AS	808.0	1569.0	8.18	8.12	8.3	0.18	2	3	4	2	0	0			783.0	1633.0	806.0	1570.0	804.0	1538.0	798.0	1492.0	705.0	1500.0	5	
AY	1	I	712.0	1416.0	8.41	8.38	8.44	0.06	41	0	0	0	0	0		m	1095.0	2311.0	679.0	1700.0	667.0	1368.0	726.0	1432.0	732.0	1439.0	5	
AH	1	WAS	564.0	1388.0	8.563	8.54	8.61	0.07	6	3	4	2	9	0			560.0	1296.0	562.0	1331.0	563.0	1489.0	545.0	1547.0	529.0	1481.0	6	
IY	1	TEASING	412.0	2513.0	8.897	8.86	8.97	0.11	11	3	4	2	3	1			371.0	2459.0	411.0	2506.0	414.0	2487.0	421.0	2400.0	414.0	2274.0	5	
IH	0	TEASING	550.0	1980.0	9.09	9.07	9.13	0.06	1	4	6	2	3	0			988.0	2322.0	931.0	2289.0	543.0	2167.0	513.0	2333.0	511.0	2344.0	5	
OW	2	OKAY	528.0	1160.0	23.072	23.04	23.17	0.13	62	1	6	1	0	1			412.0	1352.0	586.0	1098.0	667.0	1209.0	701.0	1190.0	616.0	1237.0	6	
IY	0	TWENTY	514.0	2496.0	29.398	29.325	29.545	0.22	12	0	0	0	4	0			491.0	2337.0	507.0	2513.0	505.0	2515.0	529.0	2420.0	536.0	2506.0	5	
IH	0	THIS	500.0	1628.0	30.865	30.848	30.898	0.05	1	3	4	1	3	0			485.0	1629.0	485.0	1629.0	500.0	1640.0	483.0	1667.0	483.0	1667.0	5	
IH	0	IS	428.0	1538.0	31.005	30.988	31.038	0.05	1	3	4	2	0	0			584.0	1729.0	584.0	1729.0	453.0	1528.0	466.0	1513.0	466.0	1513.0	5	
AY	1	MY	889.0	1521.0	31.182	31.158	31.238	0.08	41	0	0	0	2	0			262.0	1488.0	352.0	1052.0	633.0	1469.0	628.0	1821.0	524.0	1977.0	6	
IY	0	TWENTY	468.0	2534.0	31.495	31.448	31.588	0.14	12	0	0	0	4	0			486.0	2090.0	468.0	2507.0	466.0	2566.0	506.0	2540.0	565.0	2496.0	4	
EY	1	EIGHTH	672.0	2363.0	31.6	31.588	31.658	0.07	21	3	3	1	0	0			672.0	2364.0	668.0	2371.0	612.0	2400.0	481.0	1413.0	476.0	1407.0	6	
UW	1	TWO	433.0	1988.0	33.512	33.505	33.575	0.07	73	0	0	0	3	0			433.0	1988.0	447.0	1986.0	464.0	1897.0	472.0	1615.0	469.0	1531.0	5	
AO	1	MORE	619.0	604.0	33.675	33.655	33.715	0.06	64	6	4	2	2	0			568.0	671.0	577.0	658.0	618.0	630.0	611.0	654.0	614.0	657.0	5	
OW	1	GO	612.0	1450.0	34.338	34.295	34.575	0.28	63	0	0	0	6	0			611.0	1459.0	634.0	1391.0	594.0	1272.0	527.0	1061.0	460.0	928.0	5	
AY	1	I	804.0	1722.0	34.913	34.894	34.974	0.08	41	0	0	0	0	0		s	526.0	1417.0	780.0	1617.0	800.0	1787.0	632.0	1538.0	373.0	1043.0	6	
IH	1	GET	478.0	2042.0	35.031	35.014	35.064	0.05	1	1	4	1	6	0			464.0	2090.0	464.0	2090.0	506.0	1962.0	531.0	1857.0	531.0	1857.0	6	
AE	1	AND	608.0	1885.0	37.265	37.245	37.305	0.06	3	4	4	2	0	3			577.0	1875.0	587.0	1876.0	573.0	1907.0	512.0	1919.0	509.0	1919.0	5	
EH	1	THEN	487.0	1688.0	37.435	37.415	37.475	0.06	2	4	4	2	3	0			468.0	1678.0	471.0	1681.0	507.0	1676.0	535.0	1648.0	537.0	1646.0	5	
