s24, o, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AO	1	FORTY	450.0	781.0	4.653	4.63	4.7	0.07	64	6	4	2	1	4			411.0	1083.0	380.0	952.0	600.0	576.0	781.0	693.0	738.0	705.0	6	
IY	0	FORTY	490.0	2144.0	4.797	4.78	4.83	0.05	12	0	0	0	3	0			500.0	2112.0	500.0	2112.0	481.0	2201.0	482.0	2269.0	482.0	2269.0	4	
AY	1	NINE	856.0	1450.0	4.952	4.87	5.04	0.17	41	4	4	2	4	0		s	449.0	1755.0	700.0	1550.0	853.0	1451.0	818.0	1500.0	819.0	1593.0	5	
AY	1	I'VE	906.0	1515.0	7.916	7.852	7.982	0.13	41	3	2	2	0	0		m	1595.0	2816.0	647.0	1704.0	858.0	1573.0	970.0	1429.0	980.0	1378.0	5	
IH	0	BEEN	732.0	2047.0	8.115	8.092	8.162	0.07	1	4	4	2	1	0			718.0	2002.0	730.0	2025.0	729.0	2075.0	737.0	2069.0	718.0	2049.0	5	
IY	1	HERE	527.0	2558.0	8.229	8.212	8.262	0.05	14	6	4	2	0	0			519.0	2541.0	519.0	2541.0	551.0	2525.0	629.0	2422.0	629.0	2422.0	4	
EH	1	SEVENTY	676.0	1675.0	8.635	8.612	8.682	0.07	2	3	2	2	3	2			788.0	1854.0	635.0	1672.0	720.0	1667.0	733.0	1660.0	729.0	1656.0	5	
IY	0	SEVENTY	616.0	2201.0	8.792	8.772	8.832	0.06	12	0	0	0	4	0			654.0	2132.0	644.0	2152.0	565.0	2267.0	536.0	1648.0	534.0	1654.0	6	
UW	1	TWO	425.0	2385.0	8.969	8.962	9.122	0.16	73	0	0	0	3	0			477.0	2185.0	607.0	2585.0	623.0	2465.0	623.0	2418.0	633.0	2148.0	4	
AE	1	ACTUALLY	735.0	1841.0	9.169	9.122	9.262	0.14	3	1	6	1	0	5			677.0	1725.0	723.0	1853.0	754.0	1827.0	799.0	1872.0	948.0	1866.0	6	
AY	1	I'M	1041.0	1535.0	12.332	12.242	12.422	0.18	41	4	1	2	0	0		m	639.0	1247.0	938.0	1400.0	1016.0	1512.0	1069.0	1561.0	1048.0	1584.0	5	
AE	1	ACTUALLY	1027.0	1985.0	12.522	12.482	12.602	0.12	3	1	6	1	0	4			703.0	1751.0	1028.0	1963.0	1051.0	2038.0	1031.0	2075.0	928.0	2142.0	5	
AE	1	ATHENS	944.0	1929.0	13.052	12.992	13.172	0.18	3	3	3	1	0	1			816.0	1542.0	927.0	1893.0	998.0	2069.0	1009.0	2002.0	1008.0	1876.0	6	
AH	0	ATHENS	430.0	1160.0	13.259	13.242	13.292	0.05	*	4	4	2	3	3			852.0	2477.0	852.0	2477.0	526.0	1532.0	543.0	1359.0	543.0	1359.0	5	
AY	1	I	642.0	1138.0	14.039	14.021	14.081	0.06	41	0	0	0	0	0		m	563.0	1879.0	645.0	1412.0	642.0	1136.0	643.0	1142.0	664.0	1139.0	5	
ER	1	SERVICE	646.0	1445.0	14.501	14.461	14.581	0.12	94	3	2	2	3	1			546.0	1527.0	651.0	1434.0	644.0	1412.0	616.0	1328.0	563.0	1362.0	6	
ER	0	FOR	620.0	1421.0	15.014	14.991	15.061	0.07	94	0	0	0	1	0			979.0	nan	724.0	nan	628.0	1378.0	636.0	1384.0	631.0	1413.0	3	
AW	1	ABOUT	729.0	1407.0	15.198	15.181	15.251	0.07	42	1	4	1	1	0			710.0	1399.0	725.0	1407.0	763.0	1495.0	717.0	1503.0	713.0	1450.0	6	
IH	1	SIX	600.0	1784.0	15.461	15.441	15.501	0.06	1	1	6	1	3	3			907.0	2152.0	797.0	2075.0	638.0	1927.0	507.0	2001.0	492.0	2002.0	4	
OW	1	SO	757.0	2104.0	16.002	15.991	16.161	0.17	63	0	0	0	3	0			1651.0	2884.0	657.0	1659.0	626.0	1840.0	939.0	1966.0	1016.0	1689.0	5	
AY	1	MINE	792.0	1433.0	18.399	18.349	18.449	0.1	41	4	4	2	2	0		m	466.0	1427.0	734.0	1339.0	764.0	1447.0	753.0	1085.0	819.0	1003.0	6	
AW	2	SOUTHEASTERN	835.0	1664.0	18.632	18.599	18.729	0.13	42	3	3	1	3	2			605.0	1683.0	845.0	1646.0	914.0	1544.0	932.0	1438.0	795.0	1335.0	5	
IY	1	SOUTHEASTERN	556.0	2403.0	18.836	18.809	18.889	0.08	11	3	4	1	3	4			511.0	2412.0	553.0	2316.0	539.0	2657.0	510.0	2766.0	502.0	2723.0	4	
ER	0	SOUTHEASTERN	436.0	1640.0	19.036	18.999	19.109	0.11	94	4	4	2	3	0			425.0	1719.0	450.0	1625.0	452.0	1714.0	437.0	1807.0	775.0	2217.0	5	
AY	1	OHIO	572.0	1135.0	19.287	19.269	19.359	0.09	41	0	0	0	0	1		s	427.0	1291.0	519.0	1171.0	568.0	1138.0	537.0	1243.0	529.0	1338.0	5	
OW	0	OHIO	506.0	1304.0	19.366	19.359	19.469	0.11	63	0	0	0	0	0			506.0	1304.0	468.0	1399.0	430.0	1435.0	375.0	1371.0	1052.0	2037.0	5	
OW	1	O	743.0	1406.0	20.04	20.033	20.103	0.07	63	0	0	0	0	0			743.0	1406.0	736.0	1412.0	708.0	1464.0	704.0	1610.0	698.0	1623.0	4	
UW	1	U	474.0	2269.0	20.306	20.283	20.353	0.07	72	0	0	0	9	0			473.0	2366.0	475.0	2320.0	459.0	2277.0	376.0	2154.0	332.0	2072.0	4	
UW	1	MOVED	521.0	1513.0	35.124	35.057	35.258	0.201	72	3	2	2	2	3			580.0	1333.0	528.0	1514.0	428.0	1421.0	448.0	1252.0	390.0	1351.0	6	
AH	0	LITTLE	538.0	1107.0	35.551	35.508	35.638	0.13	*	5	4	2	3	0			443.0	1307.0	516.0	1121.0	562.0	1069.0	515.0	1013.0	522.0	1017.0	5	
EY	1	A	595.0	2173.0	39.866	39.831	40.021	0.19	22	0	0	0	0	0			549.0	1539.0	584.0	1772.0	462.0	1832.0	465.0	2158.0	444.0	1426.0	6	
AY	1	I	985.0	1673.0	48.141	48.016	48.276	0.26	41	0	0	0	0	0		s	774.0	734.0	885.0	1224.0	970.0	1680.0	720.0	781.0	725.0	1006.0	6	
AA	1	GOT	698.0	2406.0	48.376	48.356	48.416	0.06	5	1	4	1	6	0			654.0	2456.0	659.0	2448.0	750.0	2415.0	782.0	1844.0	789.0	1824.0	6	
AW	1	OUT	892.0	1692.0	48.468	48.446	48.536	0.09	42	1	4	1	0	0			885.0	1782.0	894.0	1683.0	910.0	1644.0	918.0	1675.0	892.0	1657.0	5	
ER	1	SERVICE	631.0	1421.0	48.793	48.756	48.866	0.11	94	3	2	2	3	1			503.0	1864.0	615.0	1435.0	625.0	972.0	670.0	725.0	661.0	1284.0	6	
AY	1	MY	678.0	1327.0	49.097	49.066	49.146	0.08	41	0	0	0	2	0		m	437.0	1484.0	551.0	1164.0	676.0	1302.0	661.0	1424.0	491.0	1416.0	5	
EH	1	PARENTS	629.0	1578.0	49.246	49.226	49.286	0.06	2	6	4	2	1	1			528.0	1360.0	541.0	1378.0	635.0	1988.0	505.0	1834.0	500.0	1807.0	5	
ER	0	WERE	620.0	1025.0	49.656	49.586	49.796	0.21	94	0	0	0	9	0			600.0	907.0	619.0	1016.0	612.0	1083.0	620.0	1191.0	660.0	1166.0	6	
OW	1	OLDER	698.0	1094.0	49.881	49.806	50.106	0.3	62	5	4	2	0	4			692.0	1099.0	694.0	987.0	761.0	1155.0	770.0	1134.0	723.0	958.0	5	
ER	0	OLDER	589.0	1566.0	50.299	50.256	50.386	0.13	94	0	0	0	3	0			585.0	1620.0	589.0	1587.0	599.0	1453.0	621.0	1430.0	608.0	1424.0	3	
