s37, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EY	1	OKAY	615.0	2281.0	8.914	8.789	9.039	0.25	22	0	0	0	6	0			538.0	2531.0	500.0	2499.0	615.0	2281.0	714.0	2186.0	382.0	2297.0	5	
AH	1	UH	978.0	1272.0	17.512	17.412	17.712	0.3	6	0	0	0	0	0			980.0	1307.0	977.0	1275.0	988.0	1246.0	938.0	1201.0	889.0	1252.0	5	
IH	0	THIS	465.0	1915.0	17.769	17.752	17.802	0.05	1	3	4	1	3	0			450.0	1984.0	450.0	1984.0	479.0	1908.0	473.0	1969.0	473.0	1969.0	4	
AY	1	MY	681.0	1807.0	18.005	17.991	18.041	0.05	41	0	0	0	2	0			374.0	1071.0	449.0	1228.0	678.0	1785.0	623.0	2234.0	591.0	2371.0	5	
IH	1	YEAR	533.0	2626.0	18.478	18.431	18.572	0.141	14	6	4	2	9	0			525.0	2828.0	534.0	2637.0	522.0	2565.0	561.0	2289.0	618.0	2006.0	6	
AE	1	GRADUATING	808.0	1939.0	18.845	18.811	18.912	0.101	3	2	5	2	8	2			783.0	1920.0	815.0	1929.0	803.0	1944.0	760.0	2033.0	637.0	2083.0	5	
UW	0	GRADUATING	421.0	1745.0	19.002	18.982	19.041	0.059	72	0	0	0	5	2			861.0	2357.0	774.0	2300.0	459.0	1753.0	490.0	1579.0	490.0	1579.0	5	
EY	2	GRADUATING	519.0	2197.0	19.072	19.041	19.142	0.101	21	1	4	1	0	1			508.0	1720.0	511.0	1896.0	500.0	2424.0	436.0	2642.0	404.0	2880.0	4	
IH	0	IN	596.0	2223.0	19.291	19.271	19.331	0.06	1	4	4	2	0	0			593.0	2176.0	594.0	2184.0	592.0	2232.0	579.0	2216.0	578.0	2212.0	5	
UW	1	JUNE	595.0	2176.0	19.568	19.491	19.721	0.23	72	4	4	2	5	0			549.0	2119.0	591.0	2181.0	618.0	2099.0	502.0	1499.0	525.0	1180.0	6	
AY	1	I'M	843.0	1503.0	21.116	21.087	21.146	0.059	41	4	1	2	0	0		m	2421.0	3554.0	1617.0	3000.0	759.0	1543.0	855.0	1477.0	825.0	1413.0	5	
AE	1	SPANISH	538.0	2335.0	21.43	21.396	21.497	0.101	3	4	4	2	1	1			586.0	1919.0	561.0	2198.0	508.0	2707.0	600.0	2980.0	761.0	3029.0	5	
IH	0	SPANISH	380.0	1994.0	21.554	21.537	21.587	0.05	1	3	5	1	4	0			390.0	1955.0	390.0	1955.0	363.0	2015.0	338.0	2102.0	338.0	2102.0	5	
EY	1	MAJOR	687.0	2522.0	21.796	21.747	21.877	0.13	21	2	5	2	2	1			497.0	2072.0	529.0	2539.0	533.0	2695.0	520.0	2971.0	480.0	3058.0	6	
ER	0	MAJOR	554.0	1862.0	22.039	21.966	22.186	0.22	94	0	0	0	5	0			569.0	2065.0	560.0	1861.0	608.0	1770.0	357.0	1763.0	637.0	1932.0	6	
AY	0	PSYCHOLOGY	887.0	1687.0	23.161	23.133	23.203	0.07	47	1	6	1	3	2		s	1011.0	2072.0	961.0	1870.0	745.0	892.0	822.0	310.0	724.0	1095.0	6	
AA	1	PSYCHOLOGY	851.0	1338.0	23.32	23.293	23.373	0.08	5	5	4	2	6	2			699.0	1506.0	779.0	1426.0	922.0	1129.0	877.0	921.0	861.0	858.0	5	
AH	0	PSYCHOLOGY	559.0	1397.0	23.423	23.403	23.463	0.06	*	2	5	2	7	1			569.0	1229.0	568.0	1253.0	537.0	1519.0	478.0	1763.0	473.0	1777.0	4	
IY	0	PSYCHOLOGY	404.0	2607.0	23.54	23.523	23.573	0.05	12	0	0	0	5	0			382.0	2525.0	382.0	2525.0	425.0	2650.0	444.0	2721.0	444.0	2721.0	5	
AE	1	CLASS	935.0	1371.0	23.78	23.743	23.853	0.11	3	3	4	1	8	0			907.0	1102.0	936.0	1327.0	978.0	1442.0	854.0	1408.0	880.0	1807.0	4	
AH	1	ONE	557.0	566.0	24.266	24.223	24.353	0.13	6	4	4	2	9	0			606.0	287.0	557.0	537.0	558.0	682.0	559.0	950.0	635.0	1228.0	5	
