s10, o, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EH	1	TEST	575.0	1844.0	18.784	18.761	18.831	0.07	2	3	4	1	3	3			537.0	1930.0	560.0	1896.0	596.0	1785.0	603.0	1701.0	599.0	1681.0	5	
AH	1	ONE	751.0	1031.0	19.014	18.991	19.061	0.07	6	4	4	2	9	0			720.0	949.0	738.0	985.0	756.0	1119.0	734.0	1272.0	722.0	1315.0	6	
UW	1	TWO	373.0	1963.0	19.248	19.241	19.371	0.13	73	0	0	0	3	0			373.0	1963.0	372.0	1775.0	363.0	1735.0	363.0	1732.0	381.0	1686.0	6	
IY	1	THREE	401.0	2331.0	19.544	19.511	19.611	0.1	12	0	0	0	8	0			431.0	2062.0	407.0	2281.0	380.0	2449.0	368.0	2467.0	372.0	2417.0	4	
AO	1	FOUR	520.0	764.0	19.741	19.711	19.801	0.09	64	6	4	2	1	0			507.0	832.0	517.0	788.0	534.0	758.0	547.0	788.0	555.0	816.0	5	
AY	1	FIVE	864.0	1143.0	20.059	20.011	20.321	0.31	41	3	2	2	1	0			840.0	1117.0	848.0	1188.0	851.0	1288.0	823.0	1461.0	730.0	1754.0	5	
AY	1	FIVE	879.0	1334.0	20.518	20.451	20.611	0.16	41	3	2	2	1	0		s	849.0	1523.0	851.0	1289.0	879.0	1334.0	841.0	1496.0	754.0	1653.0	5	
IY	1	THREE	407.0	2214.0	20.998	20.971	21.051	0.08	12	0	0	0	8	0			418.0	2005.0	412.0	2120.0	396.0	2340.0	374.0	2441.0	356.0	2462.0	4	
UW	1	TWO	400.0	1916.0	21.168	21.161	21.231	0.07	73	0	0	0	3	0			400.0	1916.0	401.0	1682.0	400.0	1430.0	388.0	1186.0	386.0	1079.0	6	
AH	1	ONE	699.0	984.0	21.298	21.281	21.331	0.05	6	4	4	2	9	0			676.0	958.0	676.0	958.0	736.0	1039.0	778.0	1115.0	778.0	1115.0	5	
OW	2	OKAY	907.0	2081.0	29.752	29.745	29.805	0.06	62	1	6	1	0	1			907.0	2081.0	906.0	2085.0	839.0	1926.0	688.0	1564.0	671.0	1532.0	6	
EY	1	OKAY	694.0	2073.0	29.939	29.875	30.005	0.13	22	0	0	0	6	0			524.0	2105.0	599.0	2068.0	695.0	2073.0	733.0	1850.0	698.0	2101.0	6	
EY	1	OKAY	668.0	1959.0	63.117	63.048	63.238	0.19	22	0	0	0	6	0			602.0	1952.0	661.0	1956.0	654.0	2014.0	604.0	2110.0	541.0	2241.0	6	
EY	1	OKAY	665.0	2234.0	69.025	68.94	69.11	0.17	22	0	0	0	6	0			525.0	2155.0	631.0	2095.0	665.0	2234.0	617.0	2384.0	653.0	2573.0	5	
AY	1	I'VE	851.0	1548.0	69.31	69.12	69.5	0.38	41	3	2	2	0	0		m	755.0	1895.0	793.0	1643.0	847.0	1547.0	867.0	1449.0	903.0	1412.0	5	
IH	0	BEEN	594.0	1947.0	69.643	69.62	69.69	0.07	1	4	4	2	1	0			541.0	1924.0	568.0	1939.0	623.0	1951.0	624.0	1932.0	614.0	1911.0	5	
IH	0	IN	630.0	2057.0	69.853	69.82	69.92	0.1	1	4	4	2	0	0			542.0	1932.0	611.0	2029.0	638.0	2124.0	615.0	2066.0	597.0	2029.0	5	
EH	1	SEVENTY	575.0	1728.0	70.91	70.89	70.95	0.06	2	3	2	2	3	2			539.0	1776.0	551.0	1764.0	605.0	1709.0	616.0	1679.0	615.0	1677.0	5	
EH	1	SEVEN	638.0	1716.0	71.247	71.21	71.32	0.11	2	3	2	2	3	1			534.0	1778.0	619.0	1737.0	690.0	1646.0	723.0	1584.0	704.0	1505.0	5	
AH	0	SEVEN	631.0	1433.0	71.4	71.38	71.44	0.06	*	4	4	2	1	0			531.0	1408.0	559.0	1413.0	693.0	1474.0	722.0	1554.0	720.0	1558.0	5	
AE	1	AND	671.0	2222.0	72.382	72.235	72.675	0.44	3	4	4	2	0	3			713.0	2162.0	672.0	2223.0	684.0	2161.0	718.0	1961.0	738.0	1776.0	5	
AH	1	UH	735.0	1673.0	72.952	72.865	73.125	0.26	6	0	0	0	0	0			681.0	1898.0	774.0	1789.0	879.0	1674.0	913.0	1593.0	1136.0	1470.0	5	
AE	1	TRAFFIC	707.0	1625.0	73.485	73.465	73.525	0.06	3	3	2	1	8	1			682.0	1622.0	687.0	1622.0	740.0	1632.0	746.0	1635.0	744.0	1635.0	5	
OW	1	CONTROLLER	645.0	1138.0	73.869	73.845	73.945	0.1	62	5	4	2	8	1			638.0	1192.0	652.0	1120.0	678.0	1024.0	653.0	891.0	635.0	840.0	5	
ER	0	CONTROLLER	643.0	1457.0	74.065	74.015	74.165	0.15	94	0	0	0	7	0			659.0	1151.0	650.0	1442.0	592.0	1457.0	551.0	1279.0	606.0	1544.0	6	
AY	1	I	870.0	1595.0	74.95	74.928	75.018	0.09	41	0	0	0	0	0		s	746.0	1459.0	847.0	1545.0	866.0	1632.0	809.0	1711.0	808.0	1804.0	6	
AE	1	HAVE	748.0	2096.0	75.118	75.028	75.298	0.27	3	3	2	2	0	0			769.0	2127.0	752.0	2104.0	711.0	1500.0	727.0	1495.0	686.0	1634.0	6	
IY	1	THREE	368.0	1976.0	75.695	75.678	75.728	0.05	12	0	0	0	8	0			373.0	1900.0	373.0	1900.0	362.0	2104.0	376.0	2231.0	376.0	2231.0	5	
EY	1	DAYS	559.0	2073.0	75.983	75.948	76.068	0.12	21	3	4	2	3	0			530.0	1988.0	559.0	2073.0	536.0	2171.0	493.0	2198.0	457.0	2058.0	5	
ER	1	WORK	570.0	1113.0	76.265	76.238	76.318	0.08	94	1	6	1	9	0			547.0	951.0	565.0	1039.0	570.0	1231.0	495.0	1312.0	445.0	1336.0	5	
AY	1	RETIRE	839.0	1623.0	76.885	76.818	76.978	0.16	41	6	4	2	3	0		s	838.0	2015.0	756.0	1703.0	839.0	1623.0	815.0	1783.0	731.0	1905.0	6	
AY	1	I'M	806.0	1557.0	78.013	77.998	78.048	0.05	41	4	1	2	0	0		s	879.0	1264.0	879.0	1326.0	820.0	1513.0	761.0	1688.0	757.0	1659.0	5	
