s09, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EY	1	OKAY	580.0	1941.0	48.073	48.028	48.118	0.09	22	0	0	0	6	0			387.0	1987.0	496.0	1999.0	580.0	1941.0	608.0	2019.0	585.0	2048.0	5	
OW	2	OKAY	752.0	1562.0	50.303	50.286	50.377	0.091	62	1	6	1	0	1			744.0	1582.0	759.0	1547.0	682.0	1557.0	459.0	1661.0	397.0	1693.0	5	
EY	1	OKAY	787.0	1903.0	50.548	50.536	50.636	0.1	22	0	0	0	6	0			787.0	1903.0	750.0	1920.0	738.0	1985.0	666.0	1946.0	442.0	1287.0	6	
AH	1	UM	864.0	1303.0	51.172	51.125	51.265	0.14	6	4	1	2	0	0			809.0	1321.0	870.0	1318.0	835.0	1291.0	797.0	1268.0	681.0	1207.0	5	
AY	1	I	863.0	1239.0	51.4	51.375	51.465	0.09	41	0	0	0	0	0			433.0	1142.0	742.0	1118.0	853.0	1326.0	748.0	1609.0	617.0	1818.0	5	
UW	1	GREW	493.0	1616.0	51.602	51.595	51.645	0.05	73	0	0	0	8	0			493.0	1616.0	493.0	1616.0	520.0	1605.0	570.0	1595.0	570.0	1595.0	6	
AE	1	CANTON	639.0	2349.0	51.998	51.965	52.065	0.1	3	4	4	2	6	4			411.0	2364.0	628.0	2347.0	664.0	2309.0	663.0	2011.0	685.0	1821.0	6	
IH	1	NEAR	528.0	2157.0	52.722	52.699	52.769	0.07	14	6	4	2	4	0			518.0	2031.0	522.0	2086.0	549.0	2208.0	569.0	2109.0	566.0	2077.0	6	
IY	1	CLEVELAND	499.0	2179.0	52.979	52.959	53.019	0.06	11	3	2	2	8	1			503.0	2121.0	503.0	2130.0	500.0	2203.0	503.0	2113.0	503.0	2103.0	6	
AH	0	CLEVELAND	554.0	1412.0	53.146	53.109	53.219	0.11	*	4	4	2	8	3			512.0	1107.0	555.0	1348.0	560.0	1606.0	547.0	1766.0	529.0	1769.0	5	
AH	1	UM	849.0	1389.0	54.065	53.988	54.218	0.23	6	4	1	2	0	0			951.0	1539.0	802.0	1229.0	568.0	963.0	613.0	649.0	718.0	426.0	6	
AY	1	I	1026.0	1601.0	54.432	54.434	54.504	0.07	41	0	0	0	0	0		m	998.0	2087.0	942.0	1369.0	713.0	1400.0	570.0	1631.0	469.0	1651.0	5	
UW	1	MOVED	474.0	1833.0	54.654	54.614	54.734	0.12	72	3	2	2	2	3			402.0	1655.0	472.0	1804.0	472.0	1856.0	472.0	1769.0	440.0	1639.0	4	
IY	1	HERE	496.0	2406.0	54.957	54.924	55.024	0.1	14	6	4	2	0	0			409.0	2283.0	483.0	2403.0	507.0	2318.0	516.0	2168.0	551.0	2050.0	6	
AY	1	NINETY	504.0	1508.0	55.521	55.487	55.597	0.11	41	4	4	2	4	4			407.0	1871.0	492.0	1539.0	501.0	1531.0	498.0	1789.0	483.0	2143.0	4	
UW	1	TWO	388.0	2353.0	55.864	55.857	55.967	0.11	73	0	0	0	3	0			388.0	2353.0	450.0	2327.0	452.0	2247.0	452.0	2222.0	467.0	2253.0	6	
OW	1	GO	610.0	1890.0	56.202	56.187	56.247	0.06	63	0	0	0	6	0			607.0	1913.0	609.0	1904.0	643.0	1822.0	677.0	1750.0	676.0	1747.0	6	
AH	0	TO	640.0	1725.0	56.32	56.287	56.387	0.1	*	0	0	0	3	0			613.0	1670.0	637.0	1711.0	637.0	1744.0	639.0	1731.0	624.0	1713.0	6	
AA	1	COLLEGE	933.0	1168.0	56.805	56.778	56.858	0.08	5	5	4	2	6	1			910.0	1206.0	928.0	1180.0	929.0	1162.0	897.0	1088.0	856.0	1025.0	6	
IH	0	COLLEGE	593.0	1504.0	56.945	56.918	56.998	0.08	1	2	5	2	7	0			550.0	1282.0	579.0	1402.0	561.0	1638.0	503.0	1773.0	496.0	1764.0	5	
AH	1	UM	759.0	1472.0	57.91	57.813	58.103	0.29	6	4	1	2	0	0			780.0	1568.0	761.0	1480.0	775.0	1350.0	780.0	1337.0	704.0	1336.0	4	
