s32, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AA	1	UPON	707.0	1515.0	8.596	8.579	8.629	0.05	5	4	4	2	1	0			768.0	1804.0	768.0	1804.0	637.0	934.0	736.0	939.0	736.0	939.0	5	
AH	0	A	632.0	1596.0	8.685	8.668	8.719	0.051	*	0	0	0	0	0			625.0	1592.0	625.0	1592.0	625.0	1639.0	552.0	1590.0	552.0	1590.0	4	
AY	1	TIME	902.0	1723.0	8.841	8.799	8.938	0.139	41	4	1	2	3	0		s	1285.0	3695.0	752.0	1301.0	874.0	1332.0	854.0	1399.0	722.0	1814.0	5	
AH	0	GENTLEMAN	689.0	1774.0	9.525	9.508	9.559	0.051	*	4	4	2	2	0			829.0	nan	829.0	nan	1248.0	3114.0	1507.0	nan	1507.0	nan	5	
EY	1	NAMED	600.0	2114.0	9.662	9.649	9.719	0.07	21	4	1	2	4	3			600.0	2107.0	590.0	2143.0	538.0	2242.0	615.0	2286.0	624.0	2253.0	5	
IY	1	HE	508.0	2256.0	13.349	13.329	13.389	0.06	12	0	0	0	0	0			483.0	2198.0	486.0	2205.0	541.0	2283.0	566.0	2157.0	562.0	2147.0	5	
AE	1	SAT	815.0	1859.0	13.563	13.52	13.649	0.129	3	1	4	1	3	0			849.0	1988.0	806.0	1856.0	837.0	1876.0	827.0	1884.0	787.0	1821.0	5	
IY	1	HE	528.0	2183.0	13.88	13.86	13.919	0.059	12	0	0	0	0	0			592.0	2193.0	592.0	2193.0	426.0	2144.0	433.0	2135.0	433.0	2136.0	5	
AE	1	FANNED	748.0	2000.0	14.046	14.009	14.12	0.111	3	4	4	2	1	3			627.0	1823.0	728.0	1991.0	817.0	1971.0	859.0	1933.0	859.0	1741.0	6	
EH	1	HIMSELF	816.0	1710.0	14.436	14.419	14.47	0.051	2	5	4	2	3	3			786.0	1790.0	786.0	1790.0	831.0	1708.0	851.0	1499.0	851.0	1499.0	5	
AH	1	WAS	565.0	1809.0	14.953	14.93	14.999	0.069	6	3	4	2	9	0			543.0	1695.0	553.0	1746.0	575.0	1882.0	600.0	1966.0	594.0	1958.0	6	
