s07, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	532.0	1311.0	4.919	4.898	4.988	0.09	62	1	6	1	0	1			379.0	1339.0	587.0	1322.0	759.0	1347.0	633.0	1330.0	536.0	1340.0	5	
EY	1	OKAY	575.0	2130.0	5.173	5.108	5.238	0.13	22	0	0	0	6	0			2338.0	nan	1494.0	nan	782.0	nan	534.0	2445.0	476.0	2306.0	4	
AH	1	ONE	697.0	1041.0	5.395	5.338	5.508	0.17	6	4	4	2	9	0			665.0	561.0	690.0	982.0	579.0	1232.0	605.0	1461.0	674.0	1692.0	5	
UW	1	TWO	486.0	2131.0	6.109	6.1	6.33	0.23	73	0	0	0	3	0			531.0	2121.0	527.0	2012.0	506.0	1970.0	496.0	1852.0	506.0	1718.0	5	
IY	1	THREE	479.0	2282.0	6.998	6.945	7.105	0.16	12	0	0	0	8	0			504.0	1912.0	482.0	2206.0	469.0	2442.0	449.0	2660.0	400.0	2610.0	3	
AO	1	FOUR	579.0	716.0	7.587	7.55	7.66	0.11	64	6	4	2	1	0			512.0	782.0	581.0	723.0	565.0	667.0	562.0	689.0	583.0	740.0	6	
AY	1	FIVE	900.0	1134.0	8.226	8.14	8.32	0.18	41	3	2	2	1	0			705.0	1064.0	840.0	1053.0	896.0	1117.0	907.0	1211.0	873.0	1411.0	6	
EH	1	TESTING	783.0	1836.0	10.384	10.361	10.431	0.07	2	3	4	1	3	4			879.0	1928.0	838.0	1877.0	749.0	1792.0	687.0	1636.0	660.0	1627.0	5	
IH	0	TESTING	536.0	2146.0	10.641	10.621	10.681	0.06	1	4	6	2	3	0			506.0	2089.0	519.0	2105.0	538.0	2236.0	531.0	2383.0	531.0	2383.0	5	
AY	1	I	834.0	1655.0	14.643	14.571	14.741	0.17	41	0	0	0	0	0		m	576.0	1452.0	769.0	1534.0	833.0	1658.0	782.0	1651.0	707.0	1548.0	4	
