s14, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	780.0	1389.0	13.686	13.655	13.765	0.11	62	1	6	1	0	1			644.0	1388.0	780.0	1389.0	944.0	1278.0	811.0	1183.0	597.0	1121.0	6	
EY	1	OKAY	804.0	1638.0	13.9	13.825	13.975	0.15	22	0	0	0	6	0			713.0	1594.0	774.0	1544.0	804.0	1638.0	767.0	1766.0	685.0	1849.0	6	
EH	1	YES	731.0	2051.0	62.201	62.151	62.301	0.15	2	3	4	1	9	0			589.0	2240.0	716.0	2073.0	814.0	1907.0	806.0	1671.0	714.0	1578.0	4	
EH	1	PETS	704.0	1689.0	62.558	62.541	62.591	0.05	2	1	4	1	1	3			664.0	1677.0	664.0	1677.0	719.0	1638.0	689.0	1588.0	689.0	1588.0	5	
AA	1	ARE	736.0	1140.0	62.751	62.721	62.811	0.09	44	6	4	2	0	0			655.0	1133.0	726.0	1142.0	750.0	1106.0	791.0	1121.0	801.0	1131.0	5	
EY	1	OKAY	831.0	1724.0	71.812	71.778	71.968	0.19	22	0	0	0	6	0			764.0	1715.0	796.0	1783.0	750.0	1852.0	426.0	1114.0	356.0	739.0	6	
AY	1	I	1080.0	1305.0	74.94	74.91	75.09	0.18	41	0	0	0	0	0		s	908.0	1237.0	852.0	1202.0	675.0	1024.0	836.0	1226.0	819.0	1249.0	6	
AH	1	WAS	509.0	1387.0	75.227	75.18	75.32	0.14	6	3	4	2	9	0			494.0	1038.0	510.0	1336.0	489.0	1557.0	446.0	1577.0	413.0	1562.0	5	
AO	1	BORN	610.0	566.0	75.57	75.53	75.65	0.12	64	6	4	2	1	3			544.0	1104.0	576.0	600.0	659.0	553.0	692.0	586.0	743.0	670.0	6	
IH	0	IN	610.0	2076.0	75.877	75.83	75.97	0.14	1	4	4	2	0	0			681.0	1971.0	610.0	2071.0	600.0	2073.0	576.0	2011.0	484.0	1061.0	6	
EY	1	DAYTON	595.0	2214.0	76.201	76.17	76.27	0.1	21	1	4	1	3	1			568.0	2172.0	594.0	2203.0	583.0	2323.0	520.0	2492.0	472.0	2563.0	4	
OW	0	OHIO	713.0	1591.0	76.395	76.38	76.44	0.06	62	3	0	1	0	2			705.0	1614.0	709.0	1603.0	781.0	1397.0	801.0	1165.0	801.0	1156.0	6	
AY	1	OHIO	993.0	1260.0	76.593	76.53	76.75	0.22	41	0	0	0	0	1			872.0	1345.0	992.0	1270.0	927.0	1621.0	678.0	1168.0	605.0	595.0	6	
OW	0	OHIO	775.0	1778.0	76.773	76.75	76.93	0.18	63	0	0	0	0	0			771.0	1794.0	785.0	1586.0	706.0	1310.0	546.0	941.0	411.0	752.0	6	
