s38, o, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	1	NO	639.0	1528.0	7.175	7.16	7.22	0.06	63	0	0	0	4	0			627.0	1519.0	632.0	1522.0	667.0	1508.0	636.0	1393.0	632.0	1381.0	5	
IH	1	BIG	552.0	1633.0	7.323	7.3	7.37	0.07	1	1	6	2	1	0			536.0	1543.0	546.0	1570.0	550.0	1807.0	527.0	2223.0	510.0	2312.0	5	
IY	1	DEAL	529.0	1960.0	7.497	7.47	7.55	0.08	11	5	4	2	3	0			561.0	2139.0	540.0	2035.0	499.0	1848.0	567.0	1958.0	601.0	1982.0	6	
AY	1	I'M	773.0	1375.0	9.289	9.234	9.344	0.11	41	4	1	2	0	0		m	527.0	1315.0	533.0	1401.0	735.0	1384.0	785.0	1344.0	752.0	1225.0	6	
AH	1	COMFORTABLE	670.0	1689.0	9.497	9.474	9.544	0.07	6	4	1	2	6	5			646.0	1846.0	647.0	1795.0	719.0	1523.0	686.0	1286.0	660.0	1181.0	6	
AY	1	I'M	744.0	1322.0	24.479	24.449	24.509	0.06	41	4	1	2	0	0		m	588.0	1412.0	574.0	1274.0	688.0	1318.0	781.0	1291.0	812.0	1232.0	6	
AH	1	FROM	727.0	1201.0	24.706	24.689	24.739	0.05	6	4	1	2	8	0			723.0	1210.0	723.0	1210.0	721.0	1177.0	687.0	1091.0	687.0	1091.0	6	
AH	1	COLUMBUS	771.0	968.0	24.996	24.969	25.049	0.08	6	4	1	2	7	4			713.0	853.0	745.0	912.0	798.0	1042.0	782.0	1027.0	759.0	979.0	6	
AH	0	COLUMBUS	557.0	1516.0	25.156	25.139	25.189	0.05	*	3	4	1	1	0			553.0	1610.0	553.0	1610.0	546.0	1345.0	559.0	1509.0	559.0	1509.0	5	
OW	0	OHIO	661.0	1346.0	25.301	25.279	25.389	0.11	62	3	0	1	0	2			610.0	1334.0	673.0	1417.0	675.0	1278.0	683.0	1086.0	740.0	1069.0	6	
AY	1	OHIO	1004.0	1540.0	25.493	25.419	25.599	0.18	41	0	0	0	0	1		s	929.0	1305.0	974.0	1379.0	1003.0	1548.0	956.0	1615.0	910.0	1905.0	5	
OW	0	OHIO	934.0	2663.0	25.606	25.599	25.789	0.19	63	0	0	0	0	0			958.0	2622.0	943.0	2761.0	911.0	2467.0	732.0	2826.0	777.0	2006.0	4	
AY	1	I	777.0	1257.0	25.822	25.789	25.889	0.1	41	0	0	0	0	0		m	735.0	989.0	753.0	1109.0	776.0	1271.0	766.0	1360.0	734.0	1357.0	5	
AO	1	BORN	591.0	586.0	26.229	26.199	26.289	0.09	64	6	4	2	1	3			541.0	740.0	585.0	614.0	635.0	485.0	758.0	422.0	768.0	470.0	6	
AH	0	AND	619.0	1737.0	26.419	26.399	26.459	0.06	*	4	4	2	0	3			592.0	1701.0	596.0	1705.0	646.0	1786.0	634.0	1825.0	629.0	1831.0	6	
EY	1	RAISED	692.0	1764.0	26.634	26.619	26.799	0.18	21	3	4	2	7	3			689.0	1815.0	632.0	2039.0	572.0	2227.0	515.0	2321.0	461.0	2271.0	6	
IH	0	IN	526.0	1868.0	26.972	26.949	27.019	0.07	1	4	4	2	0	0			490.0	1806.0	502.0	1821.0	576.0	1980.0	645.0	2179.0	646.0	2225.0	6	
AH	1	COLUMBUS	748.0	1040.0	27.332	27.299	27.399	0.1	6	4	1	2	7	4			700.0	920.0	737.0	1020.0	765.0	1085.0	724.0	1032.0	641.0	925.0	6	
AH	0	COLUMBUS	616.0	1665.0	27.559	27.509	27.659	0.15	*	3	4	1	1	0			601.0	1485.0	620.0	1661.0	600.0	1673.0	569.0	1648.0	503.0	1541.0	5	
