s20, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	811.0	1623.0	11.276	11.257	11.347	0.09	62	1	6	1	0	1			736.0	1733.0	862.0	1556.0	863.0	1563.0	840.0	1595.0	820.0	1623.0	6	
EY	1	OKAY	804.0	1984.0	11.502	11.477	11.777	0.3	22	0	0	0	6	0			782.0	1912.0	760.0	1887.0	748.0	1905.0	666.0	1944.0	711.0	2330.0	5	
OW	2	OKAY	722.0	1426.0	25.383	25.33	25.48	0.15	62	1	6	1	0	1			839.0	1736.0	691.0	1273.0	760.0	1389.0	778.0	1413.0	712.0	1335.0	5	
EY	1	OKAY	837.0	1884.0	25.724	25.62	26.14	0.52	22	0	0	0	6	0			820.0	1870.0	757.0	658.0	761.0	575.0	680.0	749.0	669.0	730.0	6	
UH	1	GOOD	678.0	1682.0	26.447	26.38	26.58	0.2	7	1	4	2	6	0			596.0	1830.0	671.0	1702.0	732.0	1872.0	728.0	1920.0	762.0	1801.0	4	
AA	1	AH	929.0	2482.0	57.89	57.723	58.223	0.5	5	0	0	0	0	0			1028.0	2260.0	900.0	2467.0	968.0	1686.0	931.0	3212.0	834.0	2759.0	4	
AO	2	ALTHOUGH	862.0	1105.0	84.014	83.957	84.127	0.17	53	5	4	2	0	4			898.0	1160.0	862.0	1109.0	925.0	1032.0	969.0	880.0	859.0	773.0	4	
OW	1	ALTHOUGH	666.0	1561.0	84.298	84.257	84.457	0.2	63	0	0	0	3	0			619.0	1577.0	710.0	1556.0	711.0	1551.0	660.0	1492.0	490.0	1603.0	4	
AE	1	JANET	563.0	2334.0	84.67	84.607	84.797	0.19	3	4	4	2	5	1			466.0	2223.0	543.0	2315.0	661.0	2357.0	717.0	2167.0	832.0	1903.0	5	
IH	0	JANET	655.0	1896.0	84.854	84.827	84.907	0.08	1	1	4	1	4	0			664.0	1766.0	662.0	1845.0	629.0	1966.0	581.0	1991.0	563.0	2014.0	5	
AH	1	JUST	520.0	1813.0	85.21	85.187	85.257	0.07	6	3	4	1	5	3			461.0	1948.0	486.0	1883.0	579.0	1722.0	630.0	1659.0	621.0	1640.0	5	
EH	1	SAID	629.0	1737.0	85.484	85.447	85.557	0.11	2	1	4	2	3	0			518.0	1685.0	609.0	1726.0	682.0	1751.0	687.0	1842.0	591.0	1913.0	5	
EH	1	YESTERDAY	659.0	1965.0	85.737	85.697	85.817	0.12	2	3	4	1	9	5			539.0	2143.0	634.0	2000.0	704.0	1818.0	734.0	1714.0	751.0	1638.0	5	
ER	0	YESTERDAY	502.0	1661.0	86.0	85.977	86.047	0.07	94	1	4	2	3	1			619.0	1797.0	476.0	1653.0	497.0	1691.0	455.0	1752.0	442.0	1787.0	5	
EY	2	YESTERDAY	690.0	1841.0	86.238	86.127	86.437	0.31	22	0	0	0	3	0			644.0	1897.0	687.0	1835.0	666.0	1923.0	597.0	2059.0	500.0	2200.0	5	
AH	0	THAT	595.0	1806.0	86.534	86.497	86.607	0.11	*	1	4	1	3	0			457.0	1751.0	574.0	1807.0	624.0	1763.0	608.0	1747.0	534.0	1724.0	5	
IY	1	PEOPLE	439.0	2553.0	87.213	87.176	87.286	0.11	11	1	1	1	1	1			712.0	2866.0	430.0	2479.0	427.0	2657.0	414.0	2584.0	407.0	2480.0	4	
AA	1	ARE	576.0	740.0	87.483	87.456	87.536	0.08	44	6	4	2	0	0			568.0	684.0	574.0	720.0	576.0	742.0	587.0	724.0	597.0	741.0	6	
OW	1	SO	596.0	1324.0	87.798	87.766	87.896	0.13	63	0	0	0	3	0			541.0	1480.0	607.0	1213.0	618.0	892.0	573.0	701.0	531.0	648.0	5	
OW	2	OVERWEIGHT	586.0	718.0	87.923	87.896	88.006	0.11	62	3	2	2	0	2			564.0	693.0	592.0	723.0	612.0	721.0	615.0	733.0	593.0	742.0	6	
ER	0	OVERWEIGHT	532.0	882.0	88.113	88.086	88.166	0.08	94	0	1	2	1	1			505.0	875.0	520.0	877.0	549.0	888.0	565.0	798.0	557.0	756.0	6	
EY	1	OVERWEIGHT	641.0	1642.0	88.302	88.276	88.426	0.15	21	1	4	1	9	0			634.0	1400.0	624.0	1926.0	524.0	2312.0	465.0	2453.0	410.0	2316.0	5	
IH	0	IN	510.0	1946.0	88.493	88.466	88.546	0.08	1	4	4	2	0	0			475.0	1973.0	499.0	1954.0	527.0	1946.0	514.0	1920.0	489.0	1874.0	5	
AH	1	COLUMBUS	793.0	1103.0	88.896	88.866	88.956	0.09	6	4	1	2	7	4			740.0	953.0	779.0	1062.0	817.0	1174.0	822.0	1201.0	793.0	1144.0	4	
AH	0	COLUMBUS	606.0	1337.0	89.079	89.056	89.126	0.07	*	3	4	1	1	0			580.0	1325.0	596.0	1308.0	597.0	1405.0	515.0	1431.0	486.0	1430.0	5	
IH	0	BECAUSE	475.0	2012.0	89.316	89.296	89.356	0.06	1	1	6	1	1	1			454.0	1961.0	458.0	1970.0	479.0	1587.0	447.0	917.0	444.0	866.0	6	
AH	1	BECAUSE	656.0	1586.0	89.513	89.476	89.586	0.11	6	3	4	2	6	0			837.0	1601.0	674.0	1581.0	635.0	1571.0	556.0	907.0	467.0	771.0	6	
AA	1	NOT	783.0	1393.0	89.963	89.926	90.036	0.11	5	1	4	1	4	0			667.0	1542.0	773.0	1438.0	800.0	1304.0	804.0	1294.0	771.0	1336.0	5	
EH	1	VERY	497.0	1694.0	90.206	90.186	90.246	0.06	2	6	4	2	1	1			465.0	1696.0	469.0	1694.0	537.0	1710.0	602.0	1649.0	605.0	1641.0	5	
IY	0	VERY	603.0	2162.0	90.363	90.336	90.416	0.08	12	0	0	0	7	0			637.0	1979.0	615.0	2071.0	584.0	2268.0	550.0	2157.0	536.0	2056.0	4	
AH	1	MUCH	811.0	1355.0	90.559	90.526	90.626	0.1	6	2	5	1	2	0			730.0	1200.0	796.0	1315.0	831.0	1473.0	780.0	1572.0	692.0	1686.0	5	
AH	0	TO	610.0	2047.0	90.903	90.886	90.936	0.05	*	0	0	0	3	0			828.0	2244.0	828.0	2244.0	405.0	1858.0	411.0	1886.0	411.0	1886.0	5	
UW	1	DO	404.0	1862.0	91.053	91.046	91.376	0.33	73	0	0	0	3	0			493.0	1846.0	515.0	1811.0	533.0	1671.0	517.0	1355.0	474.0	1143.0	5	
AH	0	THAT	565.0	1637.0	91.469	91.436	91.536	0.1	*	1	4	1	3	0			463.0	1549.0	548.0	1613.0	596.0	1711.0	596.0	1768.0	559.0	1791.0	5	
AE	1	ACTUALLY	823.0	1758.0	92.276	92.223	92.383	0.16	3	1	6	1	0	5			835.0	1684.0	824.0	1763.0	833.0	1719.0	838.0	1672.0	792.0	1863.0	4	
AH	0	ACTUALLY	557.0	1362.0	92.6	92.573	92.653	0.08	*	5	4	2	5	1			1128.0	2149.0	647.0	1666.0	586.0	1131.0	585.0	898.0	578.0	835.0	5	
IY	0	ACTUALLY	548.0	2097.0	92.79	92.743	92.883	0.14	12	0	0	0	7	0			629.0	869.0	568.0	2048.0	477.0	1631.0	399.0	1238.0	382.0	1163.0	6	
EY	1	THEY	644.0	1920.0	93.286	93.26	93.43	0.17	22	0	0	0	3	0			637.0	1873.0	594.0	2232.0	490.0	2611.0	447.0	2717.0	483.0	2655.0	4	
AH	1	UH	763.0	1674.0	93.513	93.48	93.58	0.1	6	0	0	0	0	0			709.0	2041.0	760.0	1741.0	781.0	1553.0	798.0	1456.0	800.0	1393.0	4	
AH	1	WHAT	696.0	980.0	93.787	93.77	93.82	0.05	6	1	4	1	9	0			694.0	929.0	694.0	929.0	702.0	1116.0	678.0	1297.0	678.0	1297.0	6	
EY	1	THEY	691.0	2021.0	93.936	93.9	94.0	0.1	22	0	0	0	3	0			589.0	1879.0	680.0	1994.0	668.0	2106.0	523.0	1000.0	460.0	768.0	6	
UW	1	DO	469.0	1992.0	94.155	94.148	94.268	0.12	73	0	0	0	3	0			469.0	1992.0	463.0	1767.0	452.0	1222.0	444.0	862.0	451.0	829.0	5	
IH	0	IS	502.0	1152.0	94.291	94.268	94.338	0.07	1	3	4	2	0	0			487.0	1042.0	493.0	1077.0	505.0	1387.0	462.0	1661.0	444.0	1668.0	5	
EY	1	THEY	618.0	2031.0	94.518	94.478	94.598	0.12	22	0	0	0	3	0			549.0	1747.0	617.0	1994.0	595.0	2188.0	534.0	2351.0	492.0	2630.0	5	
IY	1	EAT	406.0	2883.0	94.728	94.598	94.988	0.39	11	1	4	1	0	0			410.0	2846.0	406.0	2885.0	409.0	2891.0	409.0	2920.0	380.0	2977.0	4	
AW	1	OUT	950.0	1916.0	95.193	95.184	95.514	0.33	42	1	4	1	0	0			914.0	1954.0	914.0	1864.0	931.0	1514.0	893.0	1152.0	799.0	831.0	4	
AO	1	ALL	803.0	891.0	95.687	95.634	95.794	0.16	53	5	4	2	0	0			781.0	1001.0	804.0	896.0	787.0	855.0	753.0	877.0	733.0	804.0	5	
AY	1	TIME	916.0	1749.0	96.034	96.044	96.094	0.05	41	4	1	2	3	0		m	917.0	1790.0	913.0	1718.0	879.0	1651.0	788.0	1279.0	755.0	1139.0	6	
IY	1	WE	396.0	2775.0	96.244	96.194	96.344	0.15	12	0	0	0	9	0			404.0	2009.0	399.0	2755.0	382.0	2765.0	371.0	2770.0	362.0	2755.0	4	
IH	0	IT'S	464.0	2431.0	96.667	96.63	96.74	0.11	1	1	4	1	0	3			426.0	2173.0	447.0	2382.0	518.0	2367.0	592.0	2111.0	577.0	1869.0	4	
IY	0	THE	443.0	2345.0	96.93	96.9	96.99	0.09	12	0	0	0	3	0			441.0	2074.0	439.0	2275.0	451.0	2376.0	443.0	2299.0	454.0	2232.0	4	
EH	1	RESTAURANTS	691.0	1881.0	97.127	97.09	97.2	0.11	2	3	4	1	7	4			640.0	1794.0	671.0	1877.0	750.0	1874.0	757.0	1796.0	718.0	1700.0	4	
AA	2	RESTAURANTS	822.0	1095.0	97.523	97.44	97.69	0.25	5	4	4	2	8	3			788.0	1146.0	822.0	1096.0	827.0	1099.0	840.0	1207.0	784.0	1305.0	5	
AY	1	I	844.0	1291.0	97.969	97.87	98.07	0.2	41	0	0	0	0	0		m	566.0	1005.0	720.0	1065.0	827.0	1225.0	855.0	1036.0	666.0	1298.0	6	
OW	1	KNOW	735.0	1744.0	98.176	98.14	98.36	0.22	63	0	0	0	4	0			712.0	1813.0	778.0	1373.0	771.0	1137.0	722.0	1073.0	733.0	1145.0	5	
IH	0	IT	749.0	1430.0	98.4	98.36	98.48	0.12	1	1	4	1	0	0			730.0	1300.0	743.0	1402.0	748.0	1502.0	710.0	1598.0	615.0	1630.0	5	
EH	1	THEY'RE	577.0	1673.0	98.607	98.59	98.64	0.05	2	6	4	2	3	0			559.0	1687.0	559.0	1687.0	607.0	1613.0	623.0	1470.0	623.0	1470.0	5	
EH	1	INCREDIBLE	729.0	1714.0	98.927	98.9	98.98	0.08	2	1	4	2	8	2			724.0	1720.0	725.0	1708.0	741.0	1697.0	756.0	1576.0	755.0	1540.0	4	
AH	0	INCREDIBLE	637.0	1304.0	99.03	99.01	99.07	0.06	*	1	1	2	3	1			613.0	1316.0	617.0	1318.0	652.0	1235.0	627.0	1083.0	623.0	1074.0	5	
