s27, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	I	894.0	1634.0	6.379	6.352	6.452	0.1	41	0	0	0	0	0			759.0	1768.0	860.0	1606.0	873.0	1695.0	679.0	1970.0	518.0	2142.0	5	
IH	0	JUST	463.0	2058.0	6.502	6.482	6.542	0.06	1	3	4	1	5	3			455.0	2086.0	455.0	2086.0	478.0	2021.0	497.0	1943.0	498.0	1939.0	5	
AY	1	MY	831.0	1464.0	6.823	6.792	6.862	0.07	41	0	0	0	2	0			446.0	940.0	587.0	1004.0	815.0	1301.0	805.0	1662.0	703.0	1834.0	6	
AE	1	GLASSES	905.0	1571.0	7.045	6.992	7.152	0.16	3	3	4	1	8	1			824.0	1384.0	902.0	1551.0	915.0	1627.0	902.0	1556.0	818.0	1288.0	5	
AH	0	GLASSES	536.0	1439.0	7.319	7.292	7.372	0.08	*	3	4	2	3	0			512.0	1493.0	531.0	1459.0	516.0	1391.0	525.0	1409.0	515.0	1418.0	6	
ER	0	FOR	509.0	1192.0	7.665	7.612	7.772	0.16	94	0	0	0	1	0			539.0	1166.0	515.0	1183.0	510.0	1250.0	481.0	1250.0	445.0	1306.0	6	
ER	0	FOR	527.0	1271.0	8.571	8.528	8.658	0.13	94	0	0	0	1	0			497.0	1391.0	533.0	1287.0	504.0	1194.0	512.0	1175.0	557.0	1102.0	5	
OW	1	YKNOW	652.0	1676.0	9.062	9.027	9.167	0.14	63	0	0	0	4	0			554.0	1762.0	651.0	1622.0	661.0	1403.0	708.0	1285.0	481.0	1317.0	5	
IY	1	READING	402.0	2386.0	9.491	9.448	9.578	0.13	11	1	4	2	7	1			416.0	1914.0	408.0	2337.0	378.0	2511.0	367.0	2552.0	370.0	2536.0	6	
IH	0	READING	425.0	2438.0	9.648	9.618	9.708	0.09	1	4	6	2	3	0			416.0	2400.0	422.0	2424.0	426.0	2493.0	415.0	2537.0	396.0	2592.0	5	
