s12, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	452.0	980.0	14.32	14.303	14.373	0.07	62	1	6	1	0	1			443.0	955.0	451.0	976.0	461.0	1034.0	467.0	980.0	466.0	952.0	6	
AY	1	RIGHT	740.0	1782.0	15.098	15.095	15.305	0.21	47	1	4	1	7	0			740.0	1781.0	683.0	1718.0	666.0	1855.0	628.0	1578.0	619.0	1867.0	6	
EH	1	WELL	833.0	1316.0	15.478	15.435	15.565	0.13	2	5	4	2	9	0			735.0	1103.0	814.0	1296.0	890.0	1365.0	931.0	1395.0	949.0	1385.0	5	
AY	1	I	722.0	1739.0	15.918	15.879	15.959	0.08	41	0	0	0	0	0		m	1023.0	1568.0	726.0	1423.0	715.0	1636.0	715.0	1770.0	701.0	1780.0	5	
AH	1	COLUMBUS	889.0	1204.0	16.499	16.479	16.539	0.06	6	4	1	2	7	4			868.0	1151.0	871.0	1157.0	876.0	1275.0	748.0	1302.0	738.0	1301.0	5	
AH	0	COLUMBUS	709.0	1823.0	16.649	16.619	16.709	0.09	*	3	4	1	1	0			670.0	1736.0	705.0	1815.0	688.0	1772.0	665.0	1760.0	651.0	1768.0	4	
AY	1	I	791.0	1603.0	16.859	16.829	16.889	0.06	41	0	0	0	0	0		m	906.0	1981.0	780.0	1910.0	683.0	1664.0	840.0	1626.0	847.0	1674.0	5	
EH	1	TWENTY	616.0	1043.0	17.249	17.229	17.289	0.06	2	4	4	2	9	1			642.0	911.0	638.0	927.0	596.0	1216.0	568.0	1519.0	565.0	1536.0	5	
IY	0	TWENTY	551.0	2898.0	17.369	17.339	17.429	0.09	12	0	0	0	4	0			526.0	2696.0	541.0	2849.0	565.0	2953.0	527.0	2880.0	481.0	2748.0	3	
EH	1	SEVEN	937.0	1628.0	17.602	17.569	17.669	0.1	2	3	2	2	3	1			763.0	1633.0	897.0	1643.0	984.0	1541.0	940.0	1509.0	858.0	1477.0	5	
AH	0	SEVEN	769.0	1512.0	17.759	17.719	17.839	0.12	*	4	4	2	1	0			577.0	1310.0	755.0	1466.0	676.0	1614.0	628.0	1685.0	593.0	1670.0	5	
AE	1	GRADUATED	849.0	1589.0	19.75	19.72	19.809	0.089	3	2	5	2	8	2			764.0	1498.0	829.0	1556.0	849.0	1650.0	798.0	1777.0	728.0	1823.0	5	
AY	1	OHIO	758.0	1673.0	20.25	20.22	20.309	0.089	41	0	0	0	0	1		s	736.0	1612.0	620.0	1415.0	757.0	1691.0	708.0	1810.0	708.0	1805.0	5	
EY	1	STATE	578.0	2210.0	20.536	20.5	20.68	0.18	21	1	4	1	3	0			567.0	2156.0	559.0	2298.0	521.0	2415.0	536.0	2444.0	551.0	2556.0	5	
AH	1	UH	589.0	1377.0	21.417	21.354	21.544	0.19	6	0	0	0	0	0			605.0	1480.0	589.0	1381.0	588.0	1425.0	615.0	1487.0	609.0	1526.0	5	
IH	0	IN	606.0	1839.0	21.567	21.544	21.614	0.07	1	4	4	2	0	0			626.0	1837.0	618.0	1838.0	573.0	1859.0	510.0	1917.0	497.0	1898.0	4	
AY	0	PSYCHOLOGY	746.0	1762.0	21.782	21.754	21.824	0.07	47	1	6	1	3	2		s	713.0	2059.0	616.0	1861.0	732.0	1737.0	694.0	1885.0	606.0	2056.0	5	
AA	1	PSYCHOLOGY	974.0	1416.0	21.921	21.884	21.994	0.11	5	5	4	2	6	2			695.0	1442.0	949.0	1391.0	1000.0	1481.0	963.0	1397.0	919.0	1301.0	5	
AH	0	PSYCHOLOGY	733.0	1321.0	22.041	22.024	22.074	0.05	*	2	5	2	7	1			757.0	1290.0	757.0	1290.0	688.0	1381.0	605.0	1462.0	605.0	1462.0	5	
IY	0	PSYCHOLOGY	573.0	2293.0	22.184	22.144	22.264	0.12	12	0	0	0	5	0			526.0	2170.0	565.0	2242.0	597.0	2460.0	562.0	2442.0	500.0	2389.0	4	
OW	1	SO	730.0	1756.0	23.233	23.196	23.346	0.15	63	0	0	0	3	0			682.0	1719.0	743.0	1754.0	787.0	1710.0	788.0	1630.0	770.0	1380.0	5	
AY	1	I	931.0	1401.0	23.433	23.346	23.606	0.26	41	0	0	0	0	0			778.0	1081.0	883.0	1335.0	889.0	1533.0	762.0	1679.0	587.0	2256.0	6	
UH	1	SHOULD	685.0	1895.0	23.997	23.957	24.077	0.12	7	1	4	2	5	0			493.0	1982.0	634.0	1906.0	770.0	2030.0	746.0	2100.0	676.0	1998.0	5	
AY	1	I	861.0	1702.0	24.187	24.137	24.297	0.16	41	0	0	0	0	0			696.0	1832.0	848.0	1734.0	834.0	1788.0	690.0	2056.0	535.0	2361.0	5	
UH	1	SHOULD	672.0	1809.0	24.444	24.417	24.497	0.08	7	1	4	2	5	0			542.0	1863.0	606.0	1821.0	739.0	1839.0	749.0	1895.0	730.0	1882.0	5	
IH	1	REALLY	590.0	1406.0	24.67	24.647	24.717	0.07	1	5	4	2	7	1			593.0	1327.0	592.0	1370.0	589.0	1433.0	596.0	1417.0	600.0	1393.0	5	
IY	0	REALLY	529.0	1938.0	24.857	24.827	24.917	0.09	12	0	0	0	7	0			554.0	1712.0	536.0	1873.0	518.0	2081.0	512.0	2130.0	512.0	2078.0	4	
AH	0	REALIZE	707.0	1272.0	25.087	25.067	25.127	0.06	*	5	4	2	0	1			695.0	1346.0	697.0	1337.0	717.0	1197.0	722.0	1092.0	722.0	1082.0	6	
AY	2	REALIZE	941.0	1497.0	25.235	25.177	25.327	0.15	41	3	4	2	7	0			692.0	921.0	855.0	1227.0	938.0	1532.0	814.0	1739.0	647.0	1926.0	5	
IH	0	THIS	549.0	1722.0	25.457	25.437	25.497	0.06	1	3	4	1	3	0			534.0	1743.0	538.0	1740.0	553.0	1720.0	539.0	1699.0	536.0	1698.0	5	
AA	1	PARKING	872.0	1715.0	25.634	25.617	25.667	0.05	44	6	4	2	1	4			897.0	1727.0	897.0	1727.0	825.0	1533.0	786.0	1365.0	786.0	1365.0	6	
IH	2	SITUATION	489.0	1763.0	26.0	25.977	26.047	0.07	1	2	5	1	3	2			468.0	1794.0	481.0	1788.0	490.0	1703.0	475.0	1706.0	468.0	1705.0	5	
EY	1	SITUATION	635.0	1838.0	26.228	26.177	26.317	0.14	21	3	5	1	0	1			553.0	1426.0	629.0	1804.0	624.0	1857.0	593.0	1425.0	502.0	1563.0	6	
AH	1	BUT	594.0	1337.0	26.554	26.537	26.587	0.05	6	1	4	1	1	0			584.0	1322.0	584.0	1322.0	605.0	1342.0	628.0	1318.0	628.0	1318.0	5	
AY	1	LIKE	718.0	1654.0	26.71	26.667	26.767	0.1	47	1	6	1	7	0			670.0	1069.0	706.0	1353.0	718.0	1594.0	700.0	1882.0	592.0	2213.0	4	
AY	1	I	756.0	1992.0	26.873	26.837	26.947	0.11	41	0	0	0	0	0		m	719.0	2140.0	691.0	2077.0	755.0	1988.0	727.0	1966.0	617.0	1993.0	4	
EH	1	SAID	654.0	1725.0	27.08	27.057	27.127	0.07	2	1	4	2	3	0			589.0	1735.0	615.0	1718.0	727.0	1746.0	750.0	1760.0	747.0	1759.0	4	
UW	1	USUALLY	519.0	2155.0	27.357	27.337	27.397	0.06	72	3	5	2	9	2			515.0	2197.0	516.0	2192.0	519.0	2078.0	507.0	1962.0	506.0	1957.0	5	
AH	0	USUALLY	507.0	1435.0	27.46	27.437	27.507	0.07	*	5	4	2	5	1			489.0	1612.0	497.0	1493.0	522.0	1387.0	530.0	1302.0	533.0	1270.0	5	
IY	0	USUALLY	539.0	1788.0	27.587	27.567	27.627	0.06	12	0	0	0	7	0			561.0	1694.0	558.0	1705.0	518.0	1860.0	500.0	1808.0	500.0	1797.0	5	
AA	1	WALK	884.0	1096.0	27.754	27.687	27.887	0.2	5	1	6	1	9	0			736.0	930.0	872.0	1088.0	933.0	1165.0	934.0	1226.0	871.0	1478.0	5	
AH	0	AND	625.0	2004.0	28.027	27.987	28.107	0.12	*	4	4	2	0	3			578.0	2141.0	626.0	2039.0	621.0	1924.0	614.0	1896.0	583.0	1903.0	5	
AH	0	TODAY	300.0	1898.0	28.791	28.768	28.838	0.07	*	1	4	2	3	1			425.0	1980.0	414.0	1995.0	328.0	1901.0	369.0	1883.0	381.0	1873.0	5	
EY	1	TODAY	542.0	2076.0	28.908	28.868	28.948	0.08	22	0	0	0	3	0			517.0	1908.0	521.0	1967.0	542.0	2076.0	604.0	2127.0	633.0	2113.0	5	
AY	1	I	771.0	1805.0	28.988	28.948	29.028	0.08	41	0	0	0	0	0		m	630.0	2103.0	672.0	2013.0	731.0	1882.0	779.0	1746.0	742.0	1711.0	5	
OW	1	DON'T	594.0	1368.0	29.086	29.068	29.138	0.07	62	4	4	2	3	3			594.0	1378.0	597.0	1327.0	596.0	1091.0	589.0	946.0	585.0	930.0	6	
IH	1	REALLY	578.0	1363.0	29.318	29.298	29.358	0.06	1	5	4	2	7	1			559.0	1360.0	562.0	1360.0	598.0	1363.0	619.0	1316.0	620.0	1311.0	5	
IY	0	REALLY	523.0	1729.0	29.445	29.428	29.478	0.05	12	0	0	0	7	0			537.0	1682.0	537.0	1682.0	503.0	1794.0	481.0	1883.0	481.0	1883.0	4	
IY	1	FEEL	606.0	1549.0	29.605	29.588	29.638	0.05	11	5	4	2	1	0			582.0	1609.0	582.0	1609.0	627.0	1514.0	645.0	1450.0	645.0	1450.0	5	
AY	1	LIKE	721.0	1517.0	29.731	29.698	29.798	0.1	47	1	6	1	7	0			672.0	1223.0	691.0	1306.0	719.0	1560.0	642.0	1867.0	556.0	2208.0	5	
IH	0	IT	734.0	2043.0	29.921	29.878	30.008	0.13	1	1	4	1	0	0			629.0	2289.0	712.0	2093.0	789.0	1867.0	809.0	1845.0	795.0	1867.0	4	
AH	1	UM	609.0	1188.0	30.202	30.095	30.415	0.32	6	4	1	2	0	0			626.0	1311.0	605.0	1187.0	649.0	1205.0	668.0	1185.0	640.0	1133.0	5	
AY	1	I	981.0	1520.0	31.715	31.703	31.983	0.28	41	0	0	0	0	0			976.0	1539.0	910.0	1724.0	709.0	1892.0	625.0	2046.0	547.0	2229.0	5	
AY	1	I'M	715.0	1331.0	32.784	32.754	32.814	0.06	41	4	1	2	0	0		m	407.0	1677.0	489.0	1626.0	676.0	1354.0	710.0	1363.0	693.0	1427.0	5	
AE	1	HAVING	732.0	1894.0	32.931	32.894	33.004	0.11	3	3	2	2	0	1			746.0	2165.0	646.0	1907.0	1029.0	1756.0	1051.0	1736.0	985.0	1656.0	4	
IH	0	HAVING	543.0	1714.0	33.064	33.044	33.104	0.06	1	4	6	2	1	0			538.0	1584.0	539.0	1602.0	541.0	1855.0	534.0	2018.0	534.0	2023.0	5	
AH	0	A	594.0	2075.0	33.151	33.134	33.184	0.05	*	0	0	0	0	0			587.0	2077.0	587.0	2077.0	599.0	1980.0	555.0	1829.0	555.0	1829.0	4	
EY	1	BABY	628.0	2234.0	33.257	33.234	33.384	0.15	21	1	1	2	1	1			609.0	2124.0	597.0	2371.0	563.0	2438.0	563.0	2482.0	552.0	2430.0	5	
IY	0	BABY	454.0	2251.0	33.454	33.434	33.494	0.06	12	0	0	0	1	0			450.0	2120.0	450.0	2137.0	459.0	2331.0	493.0	2336.0	496.0	2335.0	5	
AW	1	ABOUT	827.0	1410.0	33.658	33.634	33.744	0.11	42	1	4	1	1	0			706.0	1326.0	872.0	1423.0	920.0	1394.0	864.0	1439.0	754.0	1519.0	5	
UW	1	TWO	411.0	2078.0	33.891	33.884	34.024	0.14	73	0	0	0	3	0			413.0	2081.0	436.0	2135.0	465.0	1950.0	458.0	1449.0	412.0	926.0	6	
IY	1	WEEKS	534.0	2335.0	34.124	34.074	34.224	0.15	11	1	6	1	9	3			514.0	1629.0	537.0	2290.0	515.0	2524.0	534.0	2519.0	487.0	2607.0	5	
IY	1	HERE	574.0	2262.0	34.464	34.424	34.544	0.12	14	6	4	2	0	0			555.0	2311.0	582.0	2276.0	573.0	2223.0	669.0	2043.0	703.0	1867.0	5	
IY	1	REALLY	549.0	1706.0	34.931	34.914	34.964	0.05	11	5	4	2	7	1			542.0	1685.0	542.0	1685.0	570.0	1691.0	607.0	1597.0	607.0	1597.0	5	
IY	0	REALLY	542.0	2045.0	35.081	35.054	35.134	0.08	12	0	0	0	7	0			544.0	1815.0	538.0	1948.0	557.0	2176.0	536.0	2203.0	521.0	2068.0	4	
EH	1	READY	782.0	1689.0	35.237	35.204	35.304	0.1	2	1	4	2	7	1			707.0	1564.0	764.0	1670.0	837.0	1761.0	774.0	1818.0	711.0	1808.0	5	
IY	0	READY	536.0	2216.0	35.361	35.334	35.414	0.08	12	0	0	0	3	0			525.0	2027.0	528.0	2133.0	544.0	2296.0	521.0	2279.0	497.0	2190.0	4	
AH	0	TO	486.0	1966.0	35.481	35.464	35.514	0.05	*	0	0	0	3	0			485.0	1943.0	485.0	1943.0	487.0	2010.0	466.0	2148.0	466.0	2148.0	6	
IH	1	GET	615.0	2197.0	35.634	35.604	35.694	0.09	1	1	4	1	6	0			511.0	2341.0	591.0	2235.0	623.0	2128.0	609.0	2054.0	591.0	1978.0	5	
IH	0	THIS	602.0	1874.0	35.844	35.804	35.924	0.12	1	3	4	1	3	0			510.0	1747.0	599.0	1889.0	603.0	1857.0	599.0	1860.0	517.0	1747.0	6	
OW	1	OVER	635.0	1145.0	36.202	36.174	36.344	0.17	62	3	2	2	0	1			590.0	1116.0	599.0	1999.0	608.0	2374.0	618.0	1995.0	694.0	3263.0	4	
ER	0	OVER	628.0	1196.0	36.471	36.434	36.544	0.11	94	0	0	0	1	0			557.0	960.0	625.0	1151.0	628.0	1210.0	633.0	1191.0	630.0	1017.0	5	
AH	1	UM	661.0	1462.0	38.733	38.66	38.88	0.22	6	4	1	2	0	0			682.0	1284.0	662.0	1473.0	648.0	1393.0	635.0	1388.0	622.0	1353.0	6	
AY	1	I	928.0	1398.0	39.803	39.773	39.883	0.11	41	0	0	0	0	0			762.0	1502.0	926.0	1333.0	903.0	1445.0	775.0	1642.0	706.0	1994.0	5	
IY	1	THREE	580.0	1984.0	41.595	41.575	41.635	0.06	12	0	0	0	8	0			582.0	1963.0	581.0	1966.0	588.0	2029.0	613.0	2121.0	614.0	2118.0	4	
AH	1	BROTHERS	809.0	1686.0	41.735	41.715	41.775	0.06	6	3	3	2	8	1			792.0	1644.0	796.0	1650.0	791.0	1701.0	743.0	1679.0	740.0	1678.0	5	
ER	0	BROTHERS	627.0	1720.0	41.828	41.805	41.875	0.07	94	3	4	2	3	0			655.0	1768.0	652.0	1811.0	644.0	1925.0	599.0	1899.0	581.0	1911.0	5	
IH	1	SISTERS	617.0	1733.0	42.108	42.085	42.155	0.07	1	3	4	1	3	4			575.0	1792.0	590.0	1745.0	629.0	1674.0	618.0	1672.0	612.0	1680.0	5	
ER	0	SISTERS	672.0	1675.0	42.315	42.285	42.375	0.09	94	3	4	2	3	0			662.0	1710.0	672.0	1688.0	673.0	1664.0	622.0	1656.0	568.0	1592.0	5	
AY	1	MY	671.0	1841.0	42.752	42.712	42.802	0.09	41	0	0	0	2	0		s	553.0	1562.0	664.0	1656.0	688.0	1907.0	687.0	2146.0	610.0	2047.0	5	
EH	1	PARENTS	494.0	2018.0	42.902	42.882	42.942	0.06	2	6	4	2	1	1			491.0	2019.0	439.0	1984.0	546.0	1997.0	590.0	2007.0	593.0	2009.0	4	
ER	0	ARE	603.0	1575.0	43.122	43.102	43.162	0.06	94	0	0	0	0	0			580.0	1637.0	583.0	1627.0	598.0	1558.0	584.0	1552.0	583.0	1550.0	6	
AH	0	AND	599.0	1741.0	43.619	43.602	43.652	0.05	*	4	4	2	0	3			593.0	1749.0	593.0	1749.0	602.0	1732.0	596.0	1732.0	596.0	1732.0	6	
AY	1	I	746.0	1536.0	44.168	44.125	44.225	0.1	41	0	0	0	0	0		s	510.0	1621.0	654.0	1464.0	739.0	1510.0	695.0	1655.0	637.0	1745.0	5	
AY	1	MY	817.0	1316.0	44.606	44.575	44.665	0.09	41	0	0	0	2	0			423.0	1240.0	649.0	934.0	816.0	1329.0	693.0	1611.0	663.0	1894.0	5	
AA	1	MOM	720.0	1093.0	44.792	44.745	44.885	0.14	5	4	1	2	2	0			693.0	1019.0	717.0	1090.0	731.0	1121.0	758.0	1176.0	722.0	1216.0	6	
AH	0	AND	601.0	1450.0	44.962	44.945	44.995	0.05	*	4	4	2	0	3			580.0	1361.0	580.0	1361.0	606.0	1546.0	587.0	1631.0	587.0	1631.0	5	
OW	1	THOSE	565.0	1609.0	45.09	45.075	45.145	0.07	62	3	4	2	3	0			553.0	1608.0	572.0	1606.0	595.0	1508.0	546.0	1442.0	529.0	1438.0	5	
AH	0	THE	539.0	1420.0	45.315	45.295	45.355	0.06	*	0	0	0	3	0			557.0	1525.0	550.0	1509.0	556.0	1413.0	556.0	1420.0	555.0	1420.0	5	
IY	1	THREE	503.0	1880.0	45.535	45.505	45.595	0.09	12	0	0	0	8	0			527.0	1640.0	511.0	1814.0	492.0	1979.0	507.0	1963.0	533.0	1900.0	5	
OW	1	OVER	646.0	1584.0	45.61	45.595	45.655	0.06	62	3	2	2	0	1			637.0	1625.0	640.0	1612.0	669.0	1331.0	660.0	1058.0	658.0	1043.0	5	
EH	1	THERE	634.0	2055.0	45.838	45.795	45.925	0.13	2	6	4	2	3	0			629.0	1843.0	633.0	2033.0	633.0	2115.0	715.0	1888.0	762.0	1789.0	5	
AH	0	AND	665.0	1618.0	46.035	46.015	46.075	0.06	*	4	4	2	0	3			666.0	1575.0	666.0	1582.0	644.0	1638.0	598.0	1686.0	596.0	1688.0	5	
EH	1	THEN	642.0	1840.0	46.182	46.165	46.215	0.05	2	4	4	2	3	0			637.0	1831.0	637.0	1831.0	647.0	1847.0	650.0	1849.0	650.0	1849.0	4	
AY	1	MY	685.0	1401.0	46.34	46.315	46.405	0.09	41	0	0	0	2	0			457.0	1173.0	616.0	1224.0	679.0	1500.0	652.0	1812.0	610.0	2057.0	5	
AE	1	DAD'S	790.0	1813.0	46.518	46.475	46.605	0.13	3	1	4	2	3	3			585.0	2052.0	763.0	1849.0	864.0	1684.0	877.0	1626.0	775.0	1677.0	5	
AE	1	FAMILY	558.0	2098.0	46.818	46.785	46.885	0.1	3	4	1	2	1	1			527.0	1787.0	556.0	2033.0	562.0	2230.0	575.0	2184.0	578.0	1607.0	6	
IY	0	FAMILY	541.0	2113.0	47.055	47.025	47.115	0.09	12	0	0	0	7	0			548.0	1841.0	544.0	2046.0	525.0	2178.0	528.0	2111.0	526.0	1962.0	5	
AY	1	I	818.0	1482.0	47.218	47.169	47.319	0.15	41	0	0	0	0	0			623.0	1851.0	769.0	1488.0	797.0	1574.0	691.0	1875.0	616.0	2070.0	5	
AE	1	HAVE	844.0	1815.0	47.386	47.329	47.499	0.17	3	3	2	2	0	0			611.0	2161.0	825.0	1830.0	890.0	1719.0	832.0	1582.0	760.0	1368.0	5	
AH	0	A	763.0	1375.0	47.616	47.579	47.689	0.11	*	0	0	0	0	0			660.0	1230.0	751.0	1352.0	776.0	1437.0	752.0	1446.0	657.0	1251.0	5	
AH	1	BROTHER	704.0	1338.0	47.789	47.769	47.829	0.06	6	3	3	2	8	1			681.0	1265.0	684.0	1273.0	725.0	1408.0	691.0	1439.0	686.0	1438.0	5	
ER	0	BROTHER	560.0	1481.0	47.892	47.869	47.939	0.07	94	0	0	0	3	0			554.0	1473.0	559.0	1483.0	556.0	1464.0	544.0	1445.0	542.0	1450.0	5	
ER	0	SISTER	586.0	1279.0	48.356	48.339	48.389	0.05	94	0	0	0	3	0			578.0	1325.0	578.0	1325.0	600.0	1200.0	627.0	1095.0	627.0	1095.0	6	
OW	1	OVER	739.0	1760.0	48.409	48.389	48.469	0.08	62	3	2	2	0	1			735.0	1739.0	740.0	1765.0	743.0	1904.0	749.0	2073.0	768.0	2184.0	3	
EH	1	THERE	632.0	2111.0	48.666	48.629	48.739	0.11	2	6	4	2	3	0			661.0	1854.0	638.0	2055.0	650.0	2199.0	781.0	2171.0	841.0	2086.0	4	
AH	1	UH	870.0	1269.0	49.621	49.568	49.728	0.16	6	0	0	0	0	0			865.0	1031.0	874.0	1266.0	845.0	1283.0	779.0	1212.0	657.0	932.0	6	
IH	1	WHICH	539.0	1419.0	49.785	49.768	49.818	0.05	1	2	5	1	9	0			538.0	1292.0	538.0	1292.0	531.0	1621.0	513.0	1823.0	513.0	1823.0	5	
AY	1	NICE	868.0	1787.0	50.113	50.068	50.218	0.15	47	3	4	1	4	0			539.0	1503.0	797.0	1681.0	816.0	1790.0	624.0	1828.0	653.0	2223.0	6	
AA	1	GOT	801.0	1402.0	50.578	50.548	50.638	0.09	5	1	4	1	6	0			686.0	1493.0	767.0	1429.0	870.0	1384.0	898.0	1481.0	883.0	1515.0	5	
AH	0	A	813.0	1180.0	50.843	50.813	50.903	0.09	*	0	0	0	0	0			801.0	1186.0	814.0	1191.0	796.0	1117.0	766.0	1026.0	718.0	930.0	5	
AA	1	LOT	916.0	1068.0	51.033	50.993	51.113	0.12	5	1	4	1	7	0			773.0	981.0	892.0	1071.0	961.0	1136.0	969.0	1387.0	862.0	1534.0	5	
AH	0	OF	664.0	1793.0	51.17	51.153	51.203	0.05	*	3	2	2	0	0			649.0	1777.0	649.0	1777.0	670.0	1808.0	634.0	1741.0	634.0	1741.0	4	
AH	0	SUPPORT	538.0	1413.0	51.38	51.363	51.413	0.05	*	1	1	1	3	1			519.0	1513.0	519.0	1513.0	557.0	1259.0	530.0	1092.0	530.0	1092.0	5	
AO	1	SUPPORT	539.0	971.0	51.54	51.523	51.573	0.05	64	6	4	2	1	3			580.0	1106.0	580.0	1106.0	487.0	620.0	565.0	683.0	565.0	683.0	5	
ER	0	FROM	683.0	1075.0	51.876	51.853	51.923	0.07	94	4	1	2	1	0			643.0	1139.0	650.0	1048.0	704.0	1116.0	650.0	1006.0	626.0	971.0	5	
EH	1	EVERYBODY	684.0	1394.0	52.003	51.973	52.063	0.09	2	3	2	2	0	2			629.0	1273.0	672.0	1358.0	700.0	1438.0	712.0	1434.0	710.0	1394.0	6	
AA	2	EVERYBODY	857.0	1460.0	52.323	52.283	52.403	0.12	5	1	4	2	1	1			686.0	1375.0	828.0	1444.0	892.0	1542.0	860.0	1653.0	803.0	1807.0	5	
IY	0	EVERYBODY	529.0	2393.0	52.506	52.453	52.613	0.16	12	0	0	0	3	0			518.0	2147.0	532.0	2367.0	473.0	2471.0	414.0	2305.0	410.0	2359.0	4	
IH	1	GET	568.0	2070.0	52.726	52.703	52.773	0.07	1	1	4	1	6	0			540.0	2155.0	552.0	2112.0	594.0	2011.0	564.0	1939.0	551.0	1914.0	4	
IH	1	GETS	542.0	2229.0	53.47	53.447	53.517	0.07	1	1	4	1	6	3			518.0	2332.0	531.0	2295.0	549.0	2033.0	538.0	1818.0	534.0	1785.0	5	
UH	1	GOOD	564.0	1618.0	53.754	53.707	53.847	0.14	7	1	4	2	6	0			450.0	1768.0	554.0	1633.0	639.0	1673.0	623.0	1900.0	527.0	2044.0	5	
AY	1	KIND	876.0	1446.0	54.022	53.967	54.077	0.11	41	4	4	2	6	3			721.0	1627.0	507.0	1459.0	705.0	1308.0	927.0	1561.0	762.0	1835.0	5	
AH	0	CONFUSING	493.0	2283.0	54.244	54.227	54.277	0.05	*	4	4	2	6	5			494.0	2255.0	494.0	2255.0	524.0	2175.0	539.0	1889.0	539.0	1889.0	5	
IH	0	CONFUSING	556.0	1865.0	54.554	54.537	54.587	0.05	1	4	6	2	3	0			524.0	1786.0	524.0	1786.0	590.0	1903.0	625.0	2020.0	625.0	2020.0	6	
AA	1	ON	667.0	1346.0	54.65	54.627	54.697	0.07	5	4	4	2	0	0			641.0	1150.0	653.0	1322.0	710.0	1365.0	723.0	1440.0	711.0	1455.0	6	
AA	1	HOLIDAYS	715.0	927.0	54.844	54.807	54.917	0.11	5	5	4	2	0	2			502.0	1058.0	657.0	948.0	1008.0	852.0	1002.0	1061.0	882.0	1156.0	6	
AH	0	HOLIDAYS	708.0	1280.0	54.99	54.967	55.037	0.07	*	1	4	2	7	1			709.0	1103.0	710.0	1188.0	692.0	1399.0	607.0	1560.0	583.0	1583.0	5	
EY	2	HOLIDAYS	648.0	2791.0	55.126	55.077	55.267	0.19	21	3	4	2	3	0			597.0	2603.0	648.0	2804.0	641.0	2500.0	524.0	2520.0	540.0	2553.0	3	
AE	1	YEAH	801.0	2011.0	56.371	56.334	56.444	0.11	3	0	0	0	9	0			607.0	2268.0	753.0	2086.0	966.0	1887.0	1132.0	1826.0	1166.0	1646.0	4	
