s03, o, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AY	1	I	1040.0	1418.0	54.268	54.237	54.347	0.11	41	0	0	0	0	0		s	816.0	1328.0	1035.0	1366.0	1001.0	1427.0	997.0	1563.0	878.0	1552.0	6	
AE	1	HAVE	868.0	1855.0	54.374	54.357	54.407	0.05	3	3	2	2	0	0			883.0	1880.0	883.0	1880.0	845.0	1819.0	817.0	1771.0	817.0	1771.0	4	
AH	0	A	687.0	1349.0	54.49	54.467	54.537	0.07	*	0	0	0	0	0			643.0	1331.0	668.0	1340.0	705.0	1370.0	692.0	1365.0	676.0	1357.0	6	
EH	1	VERY	608.0	1518.0	54.624	54.607	54.657	0.05	2	6	4	2	1	1			590.0	1498.0	590.0	1498.0	623.0	1550.0	618.0	1586.0	618.0	1586.0	6	
IY	0	VERY	588.0	2042.0	54.744	54.717	54.797	0.08	12	0	0	0	7	0			621.0	1984.0	604.0	2002.0	556.0	2108.0	488.0	2199.0	442.0	2256.0	4	
EH	1	GENERAL	606.0	2121.0	54.98	54.947	55.047	0.1	2	4	4	2	5	2			447.0	2171.0	565.0	2138.0	719.0	2077.0	798.0	1998.0	781.0	1923.0	6	
ER	0	GENERAL	559.0	1580.0	55.114	55.087	55.167	0.08	94	0	0	0	4	1			468.0	1638.0	512.0	1599.0	639.0	1591.0	709.0	1601.0	716.0	1576.0	4	
AH	0	GENERAL	673.0	1133.0	55.19	55.167	55.237	0.07	*	5	4	2	7	0			673.0	1238.0	672.0	1195.0	677.0	1019.0	664.0	913.0	655.0	894.0	5	
AH	1	UH	901.0	1262.0	55.594	55.487	55.807	0.32	6	0	0	0	0	0			872.0	1162.0	902.0	1259.0	893.0	1245.0	891.0	1254.0	899.0	1248.0	5	
AA	2	OPPOSITION	933.0	1187.0	55.924	55.877	56.017	0.14	5	1	1	1	0	2			939.0	1195.0	934.0	1193.0	931.0	1186.0	945.0	1205.0	907.0	1092.0	6	
AH	0	OPPOSITION	488.0	1395.0	56.124	56.107	56.157	0.05	*	3	4	2	1	2			468.0	1367.0	468.0	1367.0	502.0	1439.0	458.0	1460.0	458.0	1460.0	6	
IH	1	OPPOSITION	489.0	1859.0	56.33	56.297	56.397	0.1	1	3	5	1	3	1			934.0	2476.0	472.0	1986.0	438.0	2066.0	458.0	2146.0	429.0	2221.0	5	
AH	0	OPPOSITION	475.0	1981.0	56.527	56.497	56.587	0.09	*	4	4	2	5	0			458.0	2079.0	470.0	2017.0	498.0	1904.0	534.0	1811.0	502.0	1538.0	6	
UW	1	TO	367.0	1874.0	56.836	56.827	56.987	0.16	73	0	0	0	3	0			402.0	1870.0	441.0	1764.0	417.0	1667.0	409.0	1663.0	399.0	1509.0	6	
IH	0	THIS	511.0	1689.0	57.077	57.057	57.117	0.06	1	3	4	1	3	0			486.0	1717.0	489.0	1712.0	532.0	1671.0	535.0	1668.0	532.0	1670.0	5	
AY	1	KIND	1142.0	1556.0	57.361	57.357	57.537	0.18	41	4	4	2	6	3		s	1186.0	1615.0	937.0	1380.0	788.0	1438.0	764.0	1675.0	543.0	596.0	6	
AH	0	OF	514.0	1686.0	57.667	57.647	57.707	0.06	*	3	2	2	0	0			498.0	1731.0	501.0	1727.0	520.0	1612.0	500.0	1496.0	495.0	1482.0	5	
IH	1	THING	756.0	1814.0	57.934	57.847	58.107	0.26	1	4	6	2	3	0			690.0	1587.0	754.0	1797.0	737.0	2009.0	677.0	2203.0	612.0	2316.0	6	
