s26, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EY	1	OKAY	673.0	1899.0	62.884	62.86	62.92	0.06	22	0	0	0	6	0			572.0	2006.0	580.0	1996.0	659.0	1853.0	611.0	1653.0	609.0	1636.0	5	
AY	1	I'M	869.0	1353.0	63.079	63.04	63.12	0.08	41	4	1	2	0	0		s	714.0	1039.0	746.0	1094.0	838.0	1249.0	846.0	1447.0	756.0	1530.0	5	
AA	1	NOT	925.0	1562.0	63.25	63.22	63.31	0.09	5	1	4	1	4	0			792.0	1574.0	893.0	1571.0	965.0	1549.0	916.0	1586.0	788.0	1606.0	5	
IH	1	REALLY	587.0	1635.0	63.437	63.42	63.47	0.05	1	5	4	2	7	1			567.0	1619.0	567.0	1619.0	613.0	1627.0	637.0	1539.0	637.0	1539.0	4	
IY	0	REALLY	528.0	1910.0	63.58	63.56	63.62	0.06	12	0	0	0	7	0			547.0	1784.0	545.0	1801.0	507.0	2026.0	455.0	2142.0	451.0	2147.0	5	
ER	0	FROM	684.0	1584.0	63.757	63.74	63.79	0.05	94	4	1	2	1	0			858.0	1991.0	858.0	1991.0	713.0	1562.0	641.0	1480.0	641.0	1480.0	3	
AH	1	COLUMBUS	799.0	1104.0	64.113	64.09	64.16	0.07	6	4	1	2	7	4			803.0	1065.0	804.0	1084.0	773.0	1128.0	617.0	1081.0	555.0	1068.0	5	
AH	0	COLUMBUS	502.0	1619.0	64.26	64.24	64.3	0.06	*	3	4	1	1	0			1124.0	nan	1203.0	nan	1263.0	nan	1819.0	nan	1872.0	nan	4	
IY	1	EITHER	392.0	2663.0	64.49	64.42	64.63	0.21	11	3	3	2	0	1			399.0	2372.0	390.0	2647.0	421.0	1163.0	423.0	1794.0	429.0	2606.0	5	
ER	0	EITHER	678.0	1738.0	64.773	64.7	64.92	0.22	94	0	0	0	3	0			653.0	1792.0	691.0	1754.0	671.0	1619.0	715.0	1613.0	694.0	1551.0	5	
AY	1	I'VE	884.0	1747.0	65.359	65.349	65.419	0.07	41	3	2	2	0	0		s	994.0	1792.0	971.0	1850.0	866.0	1788.0	721.0	1860.0	592.0	1821.0	5	
IH	1	BEEN	623.0	2057.0	65.562	65.539	65.609	0.07	1	4	4	2	1	0			558.0	2010.0	592.0	2047.0	638.0	2073.0	634.0	2055.0	616.0	2048.0	5	
IY	1	HERE	459.0	2543.0	65.776	65.739	65.849	0.11	14	6	4	2	0	0			310.0	2590.0	419.0	2561.0	551.0	2442.0	606.0	2272.0	623.0	2088.0	3	
AH	0	A	588.0	1669.0	66.409	66.379	66.469	0.09	*	0	0	0	0	0			598.0	1648.0	595.0	1674.0	525.0	1610.0	461.0	1395.0	455.0	1325.0	4	
OW	1	OVER	607.0	953.0	66.738	66.729	66.819	0.09	62	3	2	2	0	1			607.0	953.0	605.0	950.0	573.0	946.0	540.0	911.0	507.0	795.0	4	
ER	0	OVER	544.0	1151.0	66.912	66.879	66.979	0.1	94	0	0	0	1	0			476.0	968.0	530.0	1086.0	572.0	1288.0	597.0	1485.0	603.0	1557.0	5	
EY	1	A	595.0	1592.0	66.991	66.979	67.059	0.08	22	0	0	0	0	0			595.0	1592.0	589.0	1652.0	568.0	1892.0	538.0	2129.0	522.0	2239.0	5	
IH	1	YEAR	537.0	2301.0	67.262	67.239	67.309	0.07	14	6	4	2	9	0			505.0	2359.0	519.0	2337.0	559.0	2203.0	580.0	2009.0	588.0	1969.0	4	
AW	1	NOW	842.0	1749.0	67.571	67.479	67.849	0.37	42	0	0	0	4	0			813.0	1870.0	841.0	1580.0	882.0	1341.0	892.0	1174.0	770.0	1022.0	5	
AY	1	MY	902.0	1819.0	68.504	68.454	68.554	0.1	41	0	0	0	2	0			423.0	1265.0	708.0	1205.0	894.0	1665.0	894.0	1949.0	824.0	2139.0	5	
AH	1	HUSBAND	834.0	1716.0	68.617	68.594	68.664	0.07	6	3	4	2	0	4			608.0	1764.0	702.0	1746.0	819.0	1633.0	748.0	1530.0	711.0	1511.0	5	
EH	1	WENT	548.0	1179.0	69.017	68.994	69.064	0.07	2	4	4	2	9	3			532.0	982.0	538.0	1057.0	570.0	1433.0	629.0	1743.0	643.0	1792.0	5	
AH	0	TO	952.0	1662.0	69.274	69.224	69.374	0.15	*	0	0	0	3	0			779.0	1659.0	940.0	1653.0	1015.0	1686.0	1274.0	1719.0	1288.0	1756.0	5	
AY	1	HIGH	1146.0	1701.0	69.388	69.384	69.554	0.17	41	0	0	0	0	0			1157.0	1707.0	990.0	1800.0	825.0	2079.0	581.0	1779.0	450.0	989.0	6	
