s36, o, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
OW	2	OKAY	488.0	2046.0	15.936	15.924	15.974	0.05	62	1	6	1	0	1			488.0	2046.0	488.0	2046.0	499.0	2024.0	487.0	2041.0	487.0	2041.0	5	
EY	1	OKAY	732.0	1823.0	16.096	16.084	16.224	0.14	22	0	0	0	6	0			678.0	2335.0	723.0	1977.0	745.0	1910.0	659.0	2042.0	1581.0	2513.0	5	
AY	1	I	996.0	1502.0	26.338	26.332	26.382	0.05	41	0	0	0	0	0		m	1407.0	2113.0	1092.0	1689.0	968.0	1477.0	907.0	1568.0	850.0	1590.0	5	
IH	1	THINK	780.0	1902.0	26.532	26.512	26.572	0.06	1	4	6	2	3	3			775.0	1946.0	770.0	1936.0	805.0	1958.0	825.0	2111.0	825.0	2134.0	5	
OW	1	SO	707.0	1425.0	26.787	26.742	27.032	0.29	63	0	0	0	3	0			703.0	1424.0	723.0	1422.0	458.0	1178.0	366.0	936.0	535.0	921.0	5	
UW	1	TOO	529.0	2106.0	31.449	31.442	31.492	0.05	73	0	0	0	3	0			529.0	2106.0	529.0	2106.0	522.0	2181.0	429.0	2251.0	429.0	2251.0	4	
OW	1	CLOSE	701.0	1142.0	31.63	31.622	31.692	0.07	62	3	4	1	8	0			701.0	1142.0	694.0	1133.0	654.0	1145.0	626.0	1246.0	618.0	1284.0	6	
AY	1	MY	534.0	1132.0	31.86	31.852	31.932	0.08	41	0	0	0	2	0		s	509.0	1061.0	530.0	1113.0	521.0	1155.0	517.0	1234.0	507.0	1295.0	5	
AW	1	MOUTH	545.0	1238.0	32.17	32.152	32.232	0.08	42	3	3	1	2	0			530.0	1255.0	548.0	1231.0	564.0	1164.0	589.0	1121.0	605.0	1134.0	5	
AY	1	RIGHT	1014.0	1486.0	34.596	34.542	34.712	0.17	47	1	4	1	7	0		m	789.0	963.0	954.0	1404.0	952.0	1488.0	850.0	1541.0	652.0	1560.0	6	
AH	1	MUCH	854.0	1479.0	87.824	87.794	87.884	0.09	6	2	5	1	2	0			684.0	1453.0	832.0	1481.0	864.0	1504.0	814.0	1643.0	747.0	1773.0	6	
AH	1	UH	760.0	1702.0	88.124	88.024	88.324	0.3	6	0	0	0	0	0			646.0	1268.0	758.0	1710.0	774.0	1542.0	765.0	1147.0	747.0	1338.0	6	
IY	1	HERE	520.0	2136.0	88.739	88.719	88.779	0.06	14	6	4	2	0	0			515.0	2149.0	515.0	2147.0	530.0	1835.0	551.0	1179.0	553.0	1140.0	6	
OW	1	WHOLE	605.0	991.0	89.07	89.059	89.159	0.1	62	5	4	2	0	0			548.0	1018.0	617.0	991.0	688.0	927.0	694.0	873.0	688.0	823.0	5	
AY	1	LIFE	953.0	1348.0	89.467	89.359	89.629	0.27	47	3	2	1	7	0			858.0	1062.0	911.0	1249.0	926.0	1408.0	843.0	1633.0	709.0	1915.0	6	
AH	1	UH	715.0	1337.0	89.886	89.779	90.099	0.32	6	0	0	0	0	0			640.0	1474.0	717.0	1341.0	675.0	1268.0	688.0	1258.0	678.0	1294.0	5	
AY	1	I	964.0	1564.0	90.774	90.776	90.876	0.1	41	0	0	0	0	0		m	1178.0	1741.0	709.0	1392.0	600.0	739.0	574.0	769.0	591.0	660.0	6	
AO	1	BORN	543.0	613.0	91.176	91.136	91.256	0.12	64	6	4	2	1	3			410.0	821.0	522.0	617.0	575.0	610.0	562.0	628.0	557.0	703.0	6	
AH	1	SUNBURY	599.0	1330.0	91.586	91.556	91.646	0.09	6	4	4	2	3	5			1110.0	2394.0	574.0	1478.0	634.0	1377.0	570.0	1278.0	538.0	1255.0	5	
IY	0	SUNBURY	564.0	2052.0	92.056	91.996	92.176	0.18	12	0	0	0	7	0			565.0	1946.0	561.0	2049.0	584.0	2031.0	635.0	2374.0	618.0	2049.0	4	
EY	1	RAISED	617.0	1610.0	92.724	92.712	92.822	0.11	21	3	4	2	7	3			617.0	1610.0	603.0	1717.0	568.0	1858.0	530.0	2069.0	507.0	2114.0	5	
AE	1	AND	656.0	1839.0	93.395	93.352	93.482	0.13	3	4	4	2	0	3			536.0	1851.0	633.0	1836.0	715.0	1840.0	650.0	1838.0	650.0	1887.0	5	
ER	1	SERVICE	659.0	1449.0	94.049	94.002	94.142	0.14	94	3	2	2	3	1			563.0	1514.0	654.0	1468.0	659.0	1397.0	639.0	1358.0	588.0	1269.0	6	
AH	1	UH	716.0	1475.0	94.585	94.512	94.732	0.22	6	0	0	0	0	0			710.0	1376.0	713.0	1465.0	566.0	1485.0	813.0	1490.0	713.0	1409.0	6	
ER	0	FOR	645.0	1425.0	94.875	94.852	94.922	0.07	94	0	0	0	1	0			653.0	1837.0	661.0	1668.0	675.0	1372.0	564.0	1307.0	599.0	1666.0	3	
AO	1	FOUR	584.0	591.0	95.102	95.062	95.182	0.12	64	6	4	2	1	0			424.0	807.0	566.0	591.0	606.0	600.0	660.0	630.0	602.0	761.0	5	
AH	1	UH	611.0	1668.0	95.779	95.712	95.912	0.2	6	0	0	0	0	0			621.0	2903.0	1089.0	nan	674.0	3075.0	716.0	2665.0	701.0	2451.0	4	
AY	1	I	859.0	1448.0	96.514	96.507	96.578	0.071	41	0	0	0	0	0		m	791.0	1429.0	845.0	1386.0	855.0	1478.0	890.0	1718.0	957.0	1949.0	4	
