s35, o, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EH	1	LEVEL	611.0	1326.0	8.387	8.37	8.421	0.051	2	3	2	2	7	1			606.0	1299.0	606.0	1299.0	628.0	1343.0	586.0	1270.0	586.0	1270.0	6	
IY	1	ME	611.0	2045.0	11.88	11.86	11.92	0.06	12	0	0	0	2	0			549.0	1990.0	567.0	2010.0	683.0	2092.0	778.0	2232.0	781.0	2241.0	6	
AO	1	ON	653.0	1288.0	17.996	17.933	18.123	0.19	53	4	4	2	0	0			939.0	1586.0	639.0	1366.0	781.0	1056.0	844.0	989.0	836.0	1086.0	5	
AY	1	RIGHT	834.0	1360.0	18.351	18.303	18.474	0.171	47	1	4	1	7	0			774.0	1217.0	833.0	1346.0	807.0	1546.0	715.0	1794.0	617.0	1975.0	5	
AE	1	YEAH	643.0	1863.0	19.755	19.712	19.842	0.13	3	0	0	0	9	0			560.0	2146.0	650.0	1994.0	704.0	1890.0	759.0	1797.0	1027.0	1783.0	5	
OW	2	OKAY	571.0	1491.0	36.29	36.277	36.327	0.05	62	1	6	1	0	1			560.0	1493.0	560.0	1493.0	630.0	1459.0	507.0	1375.0	507.0	1375.0	6	
EY	1	OKAY	677.0	1917.0	36.467	36.427	36.507	0.08	22	0	0	0	6	0			561.0	2027.0	638.0	1974.0	674.0	1907.0	628.0	1748.0	578.0	1717.0	5	
OW	1	OH	851.0	1149.0	43.744	43.724	43.804	0.08	63	0	0	0	0	0			826.0	1177.0	854.0	1146.0	902.0	1069.0	907.0	980.0	894.0	960.0	5	
AH	1	COLUMBUS	835.0	1090.0	52.801	52.784	52.834	0.05	6	4	1	2	7	4			817.0	1072.0	817.0	1072.0	860.0	1108.0	860.0	1083.0	860.0	1083.0	6	
AH	0	COLUMBUS	585.0	1390.0	52.951	52.934	52.984	0.05	*	3	4	1	1	0			597.0	1386.0	597.0	1386.0	578.0	1377.0	560.0	1356.0	560.0	1356.0	5	
AE	1	YEAH	687.0	2033.0	53.364	53.334	53.424	0.09	3	0	0	0	9	0			619.0	2046.0	668.0	2070.0	718.0	1795.0	860.0	1740.0	899.0	1672.0	6	
AY	1	I'VE	980.0	1185.0	53.712	53.694	53.794	0.1	41	3	2	2	0	0		s	870.0	984.0	964.0	1143.0	949.0	1256.0	839.0	1371.0	745.0	1499.0	5	
AO	1	ALWAYS	703.0	1038.0	53.854	53.834	53.894	0.06	53	5	4	2	0	1			660.0	1092.0	665.0	1085.0	763.0	979.0	832.0	887.0	836.0	880.0	5	
IH	0	IN	525.0	1843.0	54.32	54.303	54.353	0.05	1	4	4	2	0	0			524.0	1829.0	524.0	1829.0	515.0	1844.0	491.0	1819.0	491.0	1819.0	6	
AH	1	COLUMBUS	651.0	1034.0	54.58	54.563	54.614	0.051	6	4	1	2	7	4			621.0	989.0	621.0	989.0	693.0	1088.0	698.0	1044.0	698.0	1044.0	6	
AH	0	COLUMBUS	602.0	1401.0	54.714	54.694	54.754	0.06	*	3	4	1	1	0			574.0	1389.0	578.0	1391.0	600.0	1395.0	567.0	1583.0	564.0	1602.0	6	
AE	1	YEAH	634.0	1819.0	54.91	54.883	54.964	0.081	3	0	0	0	9	0			579.0	1736.0	635.0	1812.0	603.0	1793.0	658.0	1674.0	665.0	1597.0	6	
EH	1	WEST	750.0	1248.0	58.584	58.561	58.631	0.07	2	3	4	1	9	3			703.0	1103.0	725.0	1170.0	789.0	1384.0	785.0	1545.0	776.0	1583.0	5	
AY	1	SIDE	926.0	1387.0	58.876	58.801	58.951	0.15	41	1	4	2	3	0			1164.0	2134.0	810.0	1378.0	899.0	1368.0	926.0	1528.0	791.0	1843.0	6	
AE	1	YEAH	598.0	1831.0	59.721	59.691	59.781	0.09	3	0	0	0	9	0			436.0	1740.0	436.0	1729.0	505.0	1660.0	507.0	1553.0	495.0	1460.0	6	
EH	1	EH	750.0	1690.0	62.58	62.42	62.9	0.48	2	0	0	0	0	0			666.0	1690.0	750.0	1690.0	764.0	1565.0	710.0	1471.0	560.0	1442.0	5	
AA	1	NOT	826.0	1415.0	63.238	63.215	63.285	0.07	5	1	4	1	4	0			721.0	1437.0	782.0	1434.0	860.0	1352.0	847.0	1202.0	852.0	1196.0	5	
IH	1	REALLY	561.0	1849.0	63.435	63.415	63.475	0.06	1	5	4	2	7	1			549.0	1789.0	550.0	1797.0	581.0	1874.0	618.0	1801.0	622.0	1777.0	5	
IY	1	HE'S	500.0	2374.0	64.928	64.911	64.961	0.05	11	3	4	2	0	0			472.0	2345.0	472.0	2345.0	506.0	2405.0	474.0	2419.0	474.0	2419.0	5	
AY	1	KIND	843.0	1782.0	65.16	65.101	65.221	0.12	41	4	4	2	6	3		m	406.0	1920.0	677.0	1904.0	829.0	1815.0	788.0	1683.0	715.0	1612.0	5	
IY	1	BETWEEN	564.0	2040.0	65.508	65.481	65.561	0.08	11	4	4	2	9	0			541.0	1586.0	555.0	1868.0	590.0	2297.0	611.0	2504.0	601.0	2507.0	6	
AH	0	THE	637.0	1545.0	65.641	65.621	65.681	0.06	*	0	0	0	3	0			590.0	1619.0	609.0	1608.0	656.0	1405.0	641.0	1061.0	640.0	1041.0	5	
EH	1	WEST	804.0	1430.0	65.771	65.741	65.831	0.09	2	3	4	1	9	3			754.0	1171.0	796.0	1360.0	802.0	1509.0	784.0	1597.0	760.0	1608.0	6	
AH	0	AND	566.0	1653.0	66.001	65.981	66.041	0.06	*	4	4	2	0	3			1485.0	2844.0	1362.0	2693.0	974.0	2095.0	615.0	1679.0	615.0	1675.0	5	
AH	0	THE	602.0	1457.0	66.154	66.131	66.201	0.07	*	0	0	0	3	0			567.0	1458.0	589.0	1453.0	603.0	1457.0	576.0	1433.0	565.0	1427.0	5	
AW	1	SOUTH	773.0	1558.0	66.348	66.301	66.491	0.19	42	3	3	1	3	0			686.0	1507.0	802.0	1549.0	878.0	1467.0	830.0	1257.0	792.0	1115.0	5	
EH	1	AREA	647.0	1667.0	66.644	66.601	66.731	0.13	2	6	4	2	0	2			597.0	1516.0	647.0	1648.0	635.0	1683.0	625.0	1657.0	618.0	1670.0	6	
IY	0	AREA	591.0	1745.0	66.781	66.761	66.821	0.06	11	0	0	0	7	1			598.0	1732.0	596.0	1735.0	581.0	1806.0	589.0	1956.0	590.0	1962.0	6	
AH	0	AREA	611.0	1892.0	66.848	66.821	66.901	0.08	*	0	0	0	0	0			588.0	1939.0	598.0	1920.0	631.0	1843.0	619.0	1712.0	599.0	1656.0	5	
AW	2	SOUTHWEST	749.0	1496.0	67.036	67.011	67.111	0.1	42	3	3	1	3	1			701.0	1530.0	761.0	1490.0	816.0	1231.0	843.0	1239.0	786.0	1159.0	6	
EH	1	SOUTHWEST	686.0	1231.0	67.291	67.251	67.371	0.12	2	3	4	1	9	3			649.0	1016.0	681.0	1190.0	682.0	1342.0	651.0	1405.0	635.0	1450.0	6	
AH	1	UH	954.0	1443.0	69.796	69.743	69.903	0.16	6	0	0	0	0	0			921.0	1459.0	952.0	1440.0	967.0	1433.0	939.0	1463.0	855.0	1504.0	6	
IY	0	THE	580.0	2283.0	69.986	69.953	70.053	0.1	12	0	0	0	3	0			573.0	2053.0	583.0	2230.0	571.0	2418.0	577.0	2444.0	608.0	2355.0	6	
AH	0	AREA	786.0	1861.0	70.236	70.203	70.303	0.1	*	0	0	0	0	0			719.0	1983.0	766.0	1893.0	840.0	1737.0	887.0	1646.0	894.0	1641.0	6	
IH	1	LIVE	712.0	1575.0	70.426	70.403	70.473	0.07	1	3	2	2	7	0			699.0	1493.0	710.0	1543.0	712.0	1611.0	692.0	1542.0	678.0	1502.0	5	
IH	0	IN'S	603.0	1828.0	70.556	70.533	70.603	0.07	1	4	4	2	0	3			555.0	1734.0	578.0	1788.0	639.0	1839.0	649.0	1762.0	638.0	1728.0	6	
