s04, y, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EY	1	OKAY	802.0	1949.0	13.297	13.262	13.352	0.09	22	0	0	0	6	0			779.0	1980.0	784.0	1953.0	681.0	1715.0	541.0	1847.0	313.0	1492.0	6	
OW	1	OH	736.0	1254.0	37.481	37.456	37.596	0.14	63	0	0	0	0	0			780.0	1310.0	701.0	1152.0	564.0	976.0	540.0	903.0	520.0	842.0	5	
IH	1	REALLY	600.0	1345.0	37.696	37.676	37.736	0.06	1	5	4	2	7	1			579.0	1320.0	581.0	1323.0	622.0	1355.0	614.0	1333.0	613.0	1332.0	6	
IY	0	REALLY	401.0	1871.0	37.873	37.856	37.906	0.05	12	0	0	0	7	0			395.0	1857.0	395.0	1857.0	370.0	1966.0	352.0	2034.0	352.0	2034.0	5	
OW	2	OKAY	596.0	1110.0	53.178	53.161	53.251	0.09	62	1	6	1	0	1			616.0	1122.0	531.0	1058.0	424.0	852.0	373.0	891.0	357.0	990.0	6	
EY	1	OKAY	807.0	2094.0	53.363	53.351	53.541	0.19	22	0	0	0	6	0			756.0	2135.0	511.0	1109.0	661.0	683.0	590.0	1092.0	585.0	1419.0	6	
EH	1	WELL	642.0	977.0	53.681	53.641	53.761	0.12	2	5	4	2	9	0			583.0	860.0	633.0	975.0	683.0	1036.0	715.0	1136.0	724.0	1117.0	6	
EY	1	RACHEL	627.0	1631.0	55.227	55.215	55.295	0.08	21	2	5	1	7	1			627.0	1631.0	618.0	1739.0	566.0	2068.0	476.0	2245.0	440.0	2288.0	6	
AH	0	RACHEL	492.0	1465.0	55.438	55.415	55.485	0.07	*	5	4	2	5	0			729.0	1819.0	578.0	1651.0	577.0	1345.0	588.0	1166.0	583.0	1128.0	6	
AH	0	AND	635.0	1155.0	55.632	55.605	55.685	0.08	*	4	4	2	0	3			535.0	990.0	595.0	1077.0	736.0	1397.0	577.0	1262.0	513.0	927.0	6	
IY	0	TWENTY	524.0	2777.0	56.517	56.494	56.564	0.07	12	0	0	0	4	0			546.0	2484.0	540.0	2648.0	494.0	2916.0	436.0	2761.0	414.0	2713.0	3	
AY	1	I'VE	944.0	1623.0	57.721	57.717	57.787	0.07	41	3	2	2	0	0		m	1271.0	2162.0	983.0	1681.0	883.0	1569.0	813.0	1593.0	733.0	1569.0	5	
AA	1	GOT	722.0	1620.0	57.937	57.907	57.997	0.09	5	1	4	1	6	0			644.0	1753.0	720.0	1678.0	759.0	1605.0	807.0	1228.0	818.0	1375.0	6	
AH	0	A	682.0	1830.0	58.057	58.027	58.117	0.09	*	0	0	0	0	0			651.0	1743.0	680.0	1816.0	657.0	1848.0	569.0	1856.0	501.0	1839.0	5	
OW	1	OLD	645.0	1047.0	58.484	58.477	58.547	0.07	62	5	4	2	0	3			645.0	1047.0	643.0	1049.0	632.0	1044.0	596.0	958.0	587.0	931.0	5	
AH	1	SON	774.0	1501.0	58.817	58.757	58.937	0.18	6	4	4	2	3	0			694.0	1355.0	772.0	1496.0	775.0	1557.0	764.0	1591.0	730.0	1608.0	5	
IY	1	HE'S	582.0	2111.0	59.743	59.72	59.79	0.07	11	3	4	2	0	0			569.0	2088.0	565.0	2103.0	644.0	2083.0	628.0	1875.0	601.0	1827.0	5	
AH	1	JUST	551.0	1690.0	59.977	59.95	60.03	0.08	6	3	4	1	5	3			559.0	1762.0	539.0	1698.0	557.0	1659.0	558.0	1563.0	530.0	1518.0	5	
AE	1	HAD	964.0	1687.0	60.257	60.23	60.31	0.08	3	1	4	2	0	0			951.0	1720.0	921.0	1671.0	968.0	1720.0	769.0	1481.0	751.0	1460.0	6	
ER	1	BIRTHDAY	574.0	1179.0	60.57	60.53	60.65	0.12	94	3	3	1	1	4			680.0	1384.0	572.0	1163.0	557.0	1200.0	531.0	1227.0	502.0	1390.0	5	
EY	2	BIRTHDAY	740.0	2117.0	60.891	60.81	61.0	0.19	22	0	0	0	3	0			700.0	1986.0	724.0	2077.0	726.0	2139.0	648.0	2245.0	423.0	1915.0	6	
AH	1	UM	787.0	1458.0	62.003	61.94	62.13	0.19	6	4	1	2	0	0			792.0	1492.0	794.0	1462.0	731.0	1443.0	712.0	1395.0	664.0	1185.0	5	
ER	1	THIRTY	604.0	1384.0	62.39	62.36	62.45	0.09	94	1	4	2	3	1			570.0	1415.0	604.0	1362.0	586.0	1400.0	554.0	1378.0	538.0	1431.0	5	
ER	1	FIRST	590.0	1241.0	62.643	62.6	62.73	0.13	94	3	4	1	1	3			606.0	1199.0	594.0	1221.0	546.0	1287.0	540.0	1393.0	527.0	1556.0	5	
OW	1	SO	433.0	1517.0	63.702	63.685	64.025	0.34	63	0	0	0	3	0			679.0	1468.0	656.0	1372.0	618.0	1203.0	555.0	857.0	487.0	858.0	6	
AE	1	AND	668.0	2097.0	64.432	64.369	64.559	0.19	3	4	4	2	0	3			713.0	2144.0	671.0	2090.0	697.0	2095.0	675.0	2096.0	656.0	1931.0	5	
AY	1	I	885.0	1524.0	64.771	64.739	64.809	0.07	41	0	0	0	0	0		m	790.0	1434.0	728.0	1404.0	849.0	1474.0	835.0	1590.0	768.0	1625.0	5	
IH	1	LIVE	580.0	1581.0	64.926	64.899	64.979	0.08	1	3	2	2	7	0			581.0	1478.0	581.0	1544.0	585.0	1606.0	600.0	1569.0	592.0	1506.0	5	
AY	1	BY	831.0	1233.0	65.089	65.059	65.119	0.06	41	0	0	0	1	0		m	307.0	1282.0	430.0	1217.0	770.0	1191.0	859.0	1261.0	860.0	1287.0	5	
AY	2	MYSELF	670.0	1436.0	65.213	65.189	65.249	0.06	47	3	4	1	2	1		s	461.0	1584.0	622.0	1618.0	930.0	1807.0	696.0	1666.0	650.0	1834.0	5	
AH	0	A	764.0	1617.0	65.639	65.619	65.679	0.06	*	0	0	0	0	0			732.0	1548.0	739.0	1557.0	882.0	1870.0	745.0	1703.0	745.0	1697.0	6	
AW	1	HOUSE	933.0	1831.0	65.72	65.689	65.959	0.27	42	3	4	1	0	0			959.0	1754.0	944.0	1451.0	899.0	1256.0	722.0	1009.0	574.0	843.0	5	
ER	1	WORK	576.0	955.0	67.162	67.125	67.235	0.11	94	1	6	1	9	0			574.0	829.0	568.0	917.0	562.0	1057.0	504.0	1201.0	429.0	1410.0	6	
