s25, o, f, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
AO	1	FOUR	477.0	545.0	0.428	0.398	0.488	0.09	64	6	4	2	1	0			649.0	946.0	474.0	542.0	475.0	534.0	506.0	586.0	532.0	612.0	6	
UW	1	EW	544.0	1851.0	12.736	12.709	12.789	0.08	72	0	0	0	9	0			563.0	2000.0	550.0	1908.0	549.0	1731.0	570.0	1600.0	579.0	1566.0	5	
AH	0	AND	663.0	1556.0	12.816	12.789	12.869	0.08	*	4	4	2	0	3			626.0	1558.0	650.0	1563.0	683.0	1556.0	683.0	1620.0	674.0	1668.0	5	
AY	1	I	790.0	1739.0	12.96	12.929	13.019	0.09	41	0	0	0	0	0			588.0	1550.0	697.0	1695.0	789.0	1742.0	701.0	1971.0	593.0	2205.0	5	
EY	1	HATE	889.0	2621.0	13.101	13.089	13.219	0.13	21	1	4	1	0	0			889.0	2621.0	615.0	2500.0	607.0	2477.0	572.0	2550.0	568.0	2533.0	5	
IY	1	HEARING	533.0	2376.0	13.329	13.299	13.389	0.09	14	6	4	2	0	1			591.0	2265.0	496.0	2266.0	588.0	2232.0	614.0	2104.0	634.0	1945.0	6	
AY	2	MYSELF	869.0	1498.0	13.543	13.509	13.589	0.08	47	3	4	1	2	1		s	622.0	1173.0	728.0	1101.0	864.0	1442.0	824.0	1614.0	691.0	1842.0	5	
EH	1	MYSELF	733.0	1439.0	13.742	13.719	13.789	0.07	2	5	4	2	3	3			673.0	1544.0	696.0	1479.0	796.0	1398.0	838.0	1256.0	840.0	1199.0	5	
AA	1	ON	728.0	871.0	13.936	13.909	13.989	0.08	5	4	4	2	0	0			691.0	774.0	712.0	818.0	765.0	976.0	800.0	1014.0	762.0	1033.0	6	
EY	1	OKAY	768.0	2111.0	26.354	26.323	26.473	0.15	22	0	0	0	6	0			565.0	2174.0	656.0	2135.0	595.0	2025.0	494.0	2062.0	495.0	2085.0	6	
AY	1	MIGHT	824.0	1709.0	27.412	27.357	27.467	0.11	47	1	4	1	2	0		s	488.0	823.0	589.0	1122.0	788.0	1609.0	852.0	1808.0	808.0	1975.0	5	
AA	1	WANT	690.0	858.0	27.574	27.557	27.607	0.05	5	4	4	2	9	3			690.0	790.0	690.0	790.0	674.0	993.0	628.0	1171.0	628.0	1171.0	5	
AY	1	TRY	858.0	1839.0	27.904	27.917	28.017	0.1	41	0	0	0	8	0		m	613.0	1830.0	520.0	1789.0	749.0	1516.0	821.0	1843.0	650.0	1570.0	6	
AH	0	ADJUST	658.0	1749.0	28.107	28.087	28.147	0.06	*	2	5	2	0	1			662.0	1732.0	661.0	1734.0	642.0	1768.0	582.0	1801.0	577.0	1800.0	5	
AH	1	ADJUST	654.0	1865.0	28.304	28.267	28.377	0.11	6	3	4	1	5	3			557.0	1922.0	622.0	1861.0	717.0	1879.0	668.0	1766.0	552.0	1768.0	5	
IH	0	THIS	539.0	1634.0	28.514	28.497	28.547	0.05	1	3	4	1	3	0			527.0	1610.0	527.0	1610.0	552.0	1646.0	566.0	1651.0	566.0	1651.0	5	
AH	0	A	644.0	1319.0	28.677	28.657	28.717	0.06	*	0	0	0	0	0			663.0	1352.0	661.0	1349.0	596.0	1345.0	607.0	1372.0	611.0	1366.0	5	
