s15, y, m, , , , 

vowel	stress	word	norm_F1	norm_F2	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	norm_F1@20%	norm_F2@20%	norm_F1@35%	norm_F2@35%	norm_F1@50%	norm_F2@50%	norm_F1@65%	norm_F2@65%	norm_F1@80%	norm_F2@80%	nFormants
EH	1	YES	631.0	2002.0	4.792	4.772	4.832	0.06	2	3	4	1	9	0			604.0	2015.0	608.0	2014.0	660.0	1967.0	703.0	1866.0	705.0	1859.0	5	
AH	1	UM	858.0	1251.0	7.644	7.564	7.804	0.24	6	4	1	2	0	0			866.0	1287.0	861.0	1255.0	852.0	1201.0	867.0	1162.0	828.0	1078.0	5	
EH	1	WELL	676.0	1285.0	8.38	8.34	8.46	0.12	2	5	4	2	9	0			579.0	997.0	661.0	1238.0	710.0	1404.0	732.0	1436.0	736.0	1328.0	6	
AH	1	WAS	648.0	1378.0	9.117	9.1	9.15	0.05	6	3	4	2	9	0			651.0	1353.0	651.0	1353.0	610.0	1426.0	501.0	1418.0	501.0	1418.0	5	
EY	1	RAISED	574.0	1684.0	9.332	9.32	9.5	0.18	21	3	4	2	7	3			572.0	1751.0	549.0	1979.0	533.0	2083.0	514.0	2095.0	457.0	2071.0	5	
OW	1	MOST	527.0	837.0	10.012	9.994	10.074	0.08	62	3	4	1	2	3			490.0	862.0	539.0	829.0	554.0	825.0	526.0	901.0	510.0	961.0	6	
AY	1	MY	772.0	1423.0	10.319	10.274	10.364	0.09	41	0	0	0	2	0		m	340.0	1057.0	657.0	1118.0	754.0	1343.0	788.0	1466.0	761.0	1395.0	6	
AY	1	LIFE	807.0	1300.0	10.472	10.424	10.544	0.12	47	3	2	1	7	0			631.0	997.0	770.0	1082.0	807.0	1291.0	766.0	1539.0	664.0	1704.0	5	
AE	1	ASHLAND	897.0	1705.0	10.791	10.724	10.924	0.2	3	3	5	1	0	1			803.0	1689.0	896.0	1707.0	911.0	1585.0	897.0	1365.0	888.0	1547.0	6	
AH	0	ASHLAND	631.0	1019.0	11.121	11.104	11.154	0.05	*	4	4	2	8	3			631.0	987.0	631.0	987.0	640.0	1073.0	609.0	1124.0	609.0	1124.0	5	
IH	0	IT'S	599.0	1911.0	11.578	11.551	11.631	0.08	1	1	4	1	0	3			574.0	1879.0	588.0	1900.0	597.0	1932.0	556.0	1928.0	527.0	1896.0	5	
AW	1	ABOUT	755.0	1482.0	11.892	11.861	12.111	0.25	42	1	4	1	1	0			757.0	1484.0	778.0	1476.0	773.0	1375.0	774.0	1317.0	729.0	1267.0	6	
EH	1	TEN	754.0	1766.0	13.143	13.123	13.183	0.06	2	4	4	2	3	0			766.0	1808.0	762.0	1797.0	750.0	1723.0	677.0	1697.0	671.0	1695.0	5	
AH	0	MINUTES	554.0	1757.0	13.383	13.363	13.423	0.06	*	1	4	1	4	3			525.0	1740.0	533.0	1743.0	575.0	1780.0	547.0	1807.0	540.0	1809.0	5	
AO	1	NORTH	559.0	1163.0	13.873	13.843	13.933	0.09	64	6	4	2	4	3			517.0	1338.0	565.0	1234.0	540.0	1021.0	562.0	945.0	577.0	940.0	6	
AE	1	MANSFIELD	661.0	2004.0	14.35	14.313	14.423	0.11	3	4	4	2	2	4			638.0	1802.0	661.0	1983.0	669.0	2038.0	692.0	1972.0	705.0	1892.0	5	
OW	0	OHIO	641.0	1216.0	14.744	14.723	14.823	0.1	62	3	0	1	0	2			618.0	1194.0	656.0	1226.0	663.0	1197.0	646.0	1087.0	645.0	1011.0	5	
AY	1	OHIO	897.0	1380.0	14.991	14.963	15.073	0.11	41	0	0	0	0	1		s	860.0	1241.0	891.0	1334.0	883.0	1443.0	849.0	1550.0	821.0	1567.0	5	
OW	0	OHIO	837.0	1576.0	15.08	15.073	15.133	0.06	63	0	0	0	0	0			837.0	1576.0	838.0	1576.0	830.0	1524.0	805.0	1369.0	809.0	1360.0	4	
AE	1	AND	846.0	1747.0	16.338	16.285	16.445	0.16	3	4	4	2	0	3			759.0	1681.0	839.0	1721.0	829.0	1680.0	792.0	1578.0	756.0	1551.0	6	
AH	1	UM	812.0	1350.0	16.702	16.635	16.835	0.2	6	4	1	2	0	0			731.0	1495.0	807.0	1378.0	777.0	1240.0	831.0	1246.0	783.0	1110.0	6	
AY	1	I	898.0	1483.0	18.291	18.25	18.59	0.34	41	0	0	0	0	0			1049.0	1538.0	738.0	1667.0	620.0	1780.0	544.0	2272.0	444.0	2433.0	5	
AH	1	UH	817.0	1617.0	18.69	18.62	18.83	0.21	6	0	0	0	0	0			700.0	1722.0	818.0	1640.0	764.0	1639.0	783.0	1505.0	758.0	1492.0	5	
IY	1	WE	442.0	2498.0	19.568	19.548	19.608	0.06	12	0	0	0	9	0			465.0	2133.0	462.0	2188.0	428.0	2480.0	410.0	2505.0	407.0	2505.0	4	
UW	1	MOVED	424.0	1084.0	19.775	19.728	19.868	0.14	72	3	2	2	2	3			390.0	1164.0	425.0	1098.0	419.0	1094.0	409.0	1145.0	393.0	1204.0	6	
